識別番号,漢字,種類,異体字(表に含む)
698,砕,1. 常用漢字の通用字体,碎
699,宰,1. 常用漢字の通用字体,
700,栽,1. 常用漢字の通用字体,
701,彩,1. 常用漢字の通用字体,
702,採,1. 常用漢字の通用字体,
703,済,1. 常用漢字の通用字体,
704,祭,1. 常用漢字の通用字体,
705,斎,1. 常用漢字の通用字体,
706,細,1. 常用漢字の通用字体,
707,菜,1. 常用漢字の通用字体,
708,最,1. 常用漢字の通用字体,
709,裁,1. 常用漢字の通用字体,
710,債,1. 常用漢字の通用字体,
711,催,1. 常用漢字の通用字体,
712,塞,1. 常用漢字の通用字体,
713,歳,1. 常用漢字の通用字体,
714,載,1. 常用漢字の通用字体,
715,際,1. 常用漢字の通用字体,
716,埼,1. 常用漢字の通用字体,
717,在,1. 常用漢字の通用字体,
718,材,1. 常用漢字の通用字体,
719,剤,1. 常用漢字の通用字体,
720,財,1. 常用漢字の通用字体,
721,罪,1. 常用漢字の通用字体,
722,崎,1. 常用漢字の通用字体,
723,作,1. 常用漢字の通用字体,
724,削,1. 常用漢字の通用字体,
725,昨,1. 常用漢字の通用字体,
726,柵,1. 常用漢字の通用字体,
727,索,1. 常用漢字の通用字体,
728,策,1. 常用漢字の通用字体,
729,酢,1. 常用漢字の通用字体,
730,搾,1. 常用漢字の通用字体,
731,錯,1. 常用漢字の通用字体,
732,咲,1. 常用漢字の通用字体,
733,冊,1. 常用漢字の通用字体,
734,札,1. 常用漢字の通用字体,
735,刷,1. 常用漢字の通用字体,
736,刹,1. 常用漢字の通用字体,
737,拶,1. 常用漢字の通用字体,
738,殺,1. 常用漢字の通用字体,
739,察,1. 常用漢字の通用字体,
740,撮,1. 常用漢字の通用字体,
741,擦,1. 常用漢字の通用字体,
742,雑,1. 常用漢字の通用字体,雜
743,皿,1. 常用漢字の通用字体,
744,三,1. 常用漢字の通用字体,
745,山,1. 常用漢字の通用字体,
746,参,1. 常用漢字の通用字体,
747,桟,1. 常用漢字の通用字体,
748,蚕,1. 常用漢字の通用字体,
749,惨,1. 常用漢字の通用字体,
750,産,1. 常用漢字の通用字体,
751,傘,1. 常用漢字の通用字体,
752,散,1. 常用漢字の通用字体,
753,算,1. 常用漢字の通用字体,
754,酸,1. 常用漢字の通用字体,
755,賛,1. 常用漢字の通用字体,
756,残,1. 常用漢字の通用字体,
757,斬,1. 常用漢字の通用字体,
758,暫,1. 常用漢字の通用字体,
759,士,1. 常用漢字の通用字体,
760,子,1. 常用漢字の通用字体,
761,支,1. 常用漢字の通用字体,
762,止,1. 常用漢字の通用字体,
763,氏,1. 常用漢字の通用字体,
764,仕,1. 常用漢字の通用字体,
765,史,1. 常用漢字の通用字体,
766,司,1. 常用漢字の通用字体,
767,四,1. 常用漢字の通用字体,
768,市,1. 常用漢字の通用字体,
769,矢,1. 常用漢字の通用字体,
770,旨,1. 常用漢字の通用字体,
771,死,1. 常用漢字の通用字体,
772,糸,1. 常用漢字の通用字体,
773,至,1. 常用漢字の通用字体,
774,伺,1. 常用漢字の通用字体,
775,志,1. 常用漢字の通用字体,
776,私,1. 常用漢字の通用字体,
777,使,1. 常用漢字の通用字体,
778,刺,1. 常用漢字の通用字体,
779,始,1. 常用漢字の通用字体,
780,姉,1. 常用漢字の通用字体,
781,枝,1. 常用漢字の通用字体,
782,祉,1. 常用漢字の通用字体,祉
783,肢,1. 常用漢字の通用字体,
784,姿,1. 常用漢字の通用字体,
785,思,1. 常用漢字の通用字体,
786,指,1. 常用漢字の通用字体,
787,施,1. 常用漢字の通用字体,
788,師,1. 常用漢字の通用字体,
789,恣,1. 常用漢字の通用字体,
790,紙,1. 常用漢字の通用字体,
791,脂,1. 常用漢字の通用字体,
792,視,1. 常用漢字の通用字体,視
793,紫,1. 常用漢字の通用字体,
794,詞,1. 常用漢字の通用字体,
795,歯,1. 常用漢字の通用字体,
796,嗣,1. 常用漢字の通用字体,
797,試,1. 常用漢字の通用字体,
798,詩,1. 常用漢字の通用字体,
799,資,1. 常用漢字の通用字体,
800,飼,1. 常用漢字の通用字体,
801,誌,1. 常用漢字の通用字体,
802,雌,1. 常用漢字の通用字体,
803,摯,1. 常用漢字の通用字体,
804,賜,1. 常用漢字の通用字体,
805,諮,1. 常用漢字の通用字体,
806,示,1. 常用漢字の通用字体,
807,字,1. 常用漢字の通用字体,
808,寺,1. 常用漢字の通用字体,
809,次,1. 常用漢字の通用字体,
810,耳,1. 常用漢字の通用字体,
811,自,1. 常用漢字の通用字体,
812,似,1. 常用漢字の通用字体,
813,児,1. 常用漢字の通用字体,兒
814,事,1. 常用漢字の通用字体,
815,侍,1. 常用漢字の通用字体,
816,治,1. 常用漢字の通用字体,
817,持,1. 常用漢字の通用字体,
818,時,1. 常用漢字の通用字体,
819,滋,1. 常用漢字の通用字体,
820,慈,1. 常用漢字の通用字体,
821,辞,1. 常用漢字の通用字体,
822,磁,1. 常用漢字の通用字体,
823,餌,1. 常用漢字の通用字体,
824,璽,1. 常用漢字の通用字体,
825,鹿,1. 常用漢字の通用字体,
826,式,1. 常用漢字の通用字体,
827,識,1. 常用漢字の通用字体,
828,軸,1. 常用漢字の通用字体,
829,七,1. 常用漢字の通用字体,
830,𠮟,1. 常用漢字の通用字体,
831,失,1. 常用漢字の通用字体,
832,室,1. 常用漢字の通用字体,
833,疾,1. 常用漢字の通用字体,
834,執,1. 常用漢字の通用字体,
835,湿,1. 常用漢字の通用字体,濕
836,嫉,1. 常用漢字の通用字体,
837,漆,1. 常用漢字の通用字体,
838,質,1. 常用漢字の通用字体,
839,実,1. 常用漢字の通用字体,實
840,芝,1. 常用漢字の通用字体,
841,写,1. 常用漢字の通用字体,
842,社,1. 常用漢字の通用字体,社
843,車,1. 常用漢字の通用字体,
844,舎,1. 常用漢字の通用字体,
845,者,1. 常用漢字の通用字体,者
846,射,1. 常用漢字の通用字体,
847,捨,1. 常用漢字の通用字体,
848,赦,1. 常用漢字の通用字体,
849,斜,1. 常用漢字の通用字体,
850,煮,1. 常用漢字の通用字体,煮
851,遮,1. 常用漢字の通用字体,
852,謝,1. 常用漢字の通用字体,
853,邪,1. 常用漢字の通用字体,
854,蛇,1. 常用漢字の通用字体,
855,尺,1. 常用漢字の通用字体,
856,借,1. 常用漢字の通用字体,
857,酌,1. 常用漢字の通用字体,
858,釈,1. 常用漢字の通用字体,
859,爵,1. 常用漢字の通用字体,
860,若,1. 常用漢字の通用字体,
861,弱,1. 常用漢字の通用字体,
862,寂,1. 常用漢字の通用字体,
863,手,1. 常用漢字の通用字体,
864,主,1. 常用漢字の通用字体,
865,守,1. 常用漢字の通用字体,
866,朱,1. 常用漢字の通用字体,
867,取,1. 常用漢字の通用字体,
868,狩,1. 常用漢字の通用字体,
869,首,1. 常用漢字の通用字体,
870,殊,1. 常用漢字の通用字体,
871,珠,1. 常用漢字の通用字体,
872,酒,1. 常用漢字の通用字体,
873,腫,1. 常用漢字の通用字体,
874,種,1. 常用漢字の通用字体,
875,趣,1. 常用漢字の通用字体,
876,寿,1. 常用漢字の通用字体,壽
877,受,1. 常用漢字の通用字体,
878,呪,1. 常用漢字の通用字体,
879,授,1. 常用漢字の通用字体,
880,需,1. 常用漢字の通用字体,
881,儒,1. 常用漢字の通用字体,
882,樹,1. 常用漢字の通用字体,
883,収,1. 常用漢字の通用字体,收
884,囚,1. 常用漢字の通用字体,
885,州,1. 常用漢字の通用字体,
886,舟,1. 常用漢字の通用字体,
887,秀,1. 常用漢字の通用字体,
888,周,1. 常用漢字の通用字体,
889,宗,1. 常用漢字の通用字体,
890,拾,1. 常用漢字の通用字体,
891,秋,1. 常用漢字の通用字体,
892,臭,1. 常用漢字の通用字体,臭
893,修,1. 常用漢字の通用字体,
894,袖,1. 常用漢字の通用字体,
895,終,1. 常用漢字の通用字体,
896,羞,1. 常用漢字の通用字体,
897,習,1. 常用漢字の通用字体,
898,週,1. 常用漢字の通用字体,
899,就,1. 常用漢字の通用字体,
900,衆,1. 常用漢字の通用字体,
901,集,1. 常用漢字の通用字体,
902,愁,1. 常用漢字の通用字体,
903,酬,1. 常用漢字の通用字体,
904,醜,1. 常用漢字の通用字体,
905,蹴,1. 常用漢字の通用字体,
906,襲,1. 常用漢字の通用字体,
907,十,1. 常用漢字の通用字体,
908,汁,1. 常用漢字の通用字体,
909,充,1. 常用漢字の通用字体,
910,住,1. 常用漢字の通用字体,
911,柔,1. 常用漢字の通用字体,
912,重,1. 常用漢字の通用字体,
913,従,1. 常用漢字の通用字体,從
914,渋,1. 常用漢字の通用字体,澁
915,銃,1. 常用漢字の通用字体,
916,獣,1. 常用漢字の通用字体,獸
917,縦,1. 常用漢字の通用字体,縱
918,叔,1. 常用漢字の通用字体,
919,祝,1. 常用漢字の通用字体,祝
920,宿,1. 常用漢字の通用字体,
921,淑,1. 常用漢字の通用字体,
922,粛,1. 常用漢字の通用字体,
923,縮,1. 常用漢字の通用字体,
924,塾,1. 常用漢字の通用字体,
925,熟,1. 常用漢字の通用字体,
926,出,1. 常用漢字の通用字体,
927,述,1. 常用漢字の通用字体,
928,術,1. 常用漢字の通用字体,
929,俊,1. 常用漢字の通用字体,
930,春,1. 常用漢字の通用字体,
931,瞬,1. 常用漢字の通用字体,
932,旬,1. 常用漢字の通用字体,
933,巡,1. 常用漢字の通用字体,
934,盾,1. 常用漢字の通用字体,
935,准,1. 常用漢字の通用字体,
936,殉,1. 常用漢字の通用字体,
937,純,1. 常用漢字の通用字体,
938,循,1. 常用漢字の通用字体,
939,順,1. 常用漢字の通用字体,
940,準,1. 常用漢字の通用字体,
941,潤,1. 常用漢字の通用字体,
942,遵,1. 常用漢字の通用字体,
943,処,1. 常用漢字の通用字体,
944,初,1. 常用漢字の通用字体,
945,所,1. 常用漢字の通用字体,
946,書,1. 常用漢字の通用字体,
947,庶,1. 常用漢字の通用字体,
948,暑,1. 常用漢字の通用字体,暑
949,署,1. 常用漢字の通用字体,署
950,緒,1. 常用漢字の通用字体,緖
951,諸,1. 常用漢字の通用字体,諸
952,女,1. 常用漢字の通用字体,
953,如,1. 常用漢字の通用字体,
954,助,1. 常用漢字の通用字体,
955,序,1. 常用漢字の通用字体,
956,叙,1. 常用漢字の通用字体,敍
957,徐,1. 常用漢字の通用字体,
958,除,1. 常用漢字の通用字体,
959,小,1. 常用漢字の通用字体,
960,升,1. 常用漢字の通用字体,
961,少,1. 常用漢字の通用字体,
962,召,1. 常用漢字の通用字体,
963,匠,1. 常用漢字の通用字体,
964,床,1. 常用漢字の通用字体,
965,抄,1. 常用漢字の通用字体,
966,肖,1. 常用漢字の通用字体,
967,尚,1. 常用漢字の通用字体,
968,招,1. 常用漢字の通用字体,
969,承,1. 常用漢字の通用字体,
970,昇,1. 常用漢字の通用字体,
971,松,1. 常用漢字の通用字体,
972,沼,1. 常用漢字の通用字体,
973,昭,1. 常用漢字の通用字体,
974,宵,1. 常用漢字の通用字体,
975,将,1. 常用漢字の通用字体,將
976,消,1. 常用漢字の通用字体,
977,症,1. 常用漢字の通用字体,
978,祥,1. 常用漢字の通用字体,祥
979,称,1. 常用漢字の通用字体,
980,笑,1. 常用漢字の通用字体,
981,唱,1. 常用漢字の通用字体,
982,商,1. 常用漢字の通用字体,
983,渉,1. 常用漢字の通用字体,涉
984,章,1. 常用漢字の通用字体,
985,紹,1. 常用漢字の通用字体,
986,訟,1. 常用漢字の通用字体,
987,勝,1. 常用漢字の通用字体,
988,掌,1. 常用漢字の通用字体,
989,晶,1. 常用漢字の通用字体,
990,焼,1. 常用漢字の通用字体,燒
991,焦,1. 常用漢字の通用字体,
992,硝,1. 常用漢字の通用字体,
993,粧,1. 常用漢字の通用字体,
994,詔,1. 常用漢字の通用字体,
995,証,1. 常用漢字の通用字体,
996,象,1. 常用漢字の通用字体,
997,傷,1. 常用漢字の通用字体,
998,奨,1. 常用漢字の通用字体,奬
999,照,1. 常用漢字の通用字体,
1000,詳,1. 常用漢字の通用字体,
1001,彰,1. 常用漢字の通用字体,
1002,障,1. 常用漢字の通用字体,
1003,憧,1. 常用漢字の通用字体,
1004,衝,1. 常用漢字の通用字体,
1005,賞,1. 常用漢字の通用字体,
1006,償,1. 常用漢字の通用字体,
1007,礁,1. 常用漢字の通用字体,
1008,鐘,1. 常用漢字の通用字体,
1009,上,1. 常用漢字の通用字体,
1010,丈,1. 常用漢字の通用字体,
1011,冗,1. 常用漢字の通用字体,
1012,条,1. 常用漢字の通用字体,條
1013,状,1. 常用漢字の通用字体,狀
1014,乗,1. 常用漢字の通用字体,乘
1015,城,1. 常用漢字の通用字体,
1016,浄,1. 常用漢字の通用字体,淨
1017,剰,1. 常用漢字の通用字体,剩
1018,常,1. 常用漢字の通用字体,
1019,情,1. 常用漢字の通用字体,
1020,場,1. 常用漢字の通用字体,
1021,畳,1. 常用漢字の通用字体,疊
1022,蒸,1. 常用漢字の通用字体,
1023,縄,1. 常用漢字の通用字体,
1024,壌,1. 常用漢字の通用字体,
1025,嬢,1. 常用漢字の通用字体,孃
1026,錠,1. 常用漢字の通用字体,
1027,譲,1. 常用漢字の通用字体,讓
1028,醸,1. 常用漢字の通用字体,釀
1029,色,1. 常用漢字の通用字体,
1030,拭,1. 常用漢字の通用字体,
1031,食,1. 常用漢字の通用字体,
1032,植,1. 常用漢字の通用字体,
1033,殖,1. 常用漢字の通用字体,
1034,飾,1. 常用漢字の通用字体,
1035,触,1. 常用漢字の通用字体,
1036,嘱,1. 常用漢字の通用字体,
1037,織,1. 常用漢字の通用字体,
1038,職,1. 常用漢字の通用字体,
1039,辱,1. 常用漢字の通用字体,
1040,尻,1. 常用漢字の通用字体,
1041,心,1. 常用漢字の通用字体,
1042,申,1. 常用漢字の通用字体,
1043,伸,1. 常用漢字の通用字体,
1044,臣,1. 常用漢字の通用字体,
1045,芯,1. 常用漢字の通用字体,
1046,身,1. 常用漢字の通用字体,
1047,辛,1. 常用漢字の通用字体,
1048,侵,1. 常用漢字の通用字体,
1049,信,1. 常用漢字の通用字体,
1050,津,1. 常用漢字の通用字体,
1051,神,1. 常用漢字の通用字体,神
1052,唇,1. 常用漢字の通用字体,
1053,娠,1. 常用漢字の通用字体,
1054,振,1. 常用漢字の通用字体,
1055,浸,1. 常用漢字の通用字体,
1056,真,1. 常用漢字の通用字体,眞
1057,針,1. 常用漢字の通用字体,
1058,深,1. 常用漢字の通用字体,
1059,紳,1. 常用漢字の通用字体,
1060,進,1. 常用漢字の通用字体,
1061,森,1. 常用漢字の通用字体,
1062,診,1. 常用漢字の通用字体,
1063,寝,1. 常用漢字の通用字体,寢
1064,慎,1. 常用漢字の通用字体,愼
1065,新,1. 常用漢字の通用字体,
1066,審,1. 常用漢字の通用字体,
1067,震,1. 常用漢字の通用字体,
1068,薪,1. 常用漢字の通用字体,
1069,親,1. 常用漢字の通用字体,
1070,人,1. 常用漢字の通用字体,
1071,刃,1. 常用漢字の通用字体,
1072,仁,1. 常用漢字の通用字体,
1073,尽,1. 常用漢字の通用字体,盡
1074,迅,1. 常用漢字の通用字体,
1075,甚,1. 常用漢字の通用字体,
1076,陣,1. 常用漢字の通用字体,
1077,尋,1. 常用漢字の通用字体,
1078,腎,1. 常用漢字の通用字体,
1079,須,1. 常用漢字の通用字体,
1080,図,1. 常用漢字の通用字体,
1081,水,1. 常用漢字の通用字体,
1082,吹,1. 常用漢字の通用字体,
1083,垂,1. 常用漢字の通用字体,
1084,炊,1. 常用漢字の通用字体,
1085,帥,1. 常用漢字の通用字体,
1086,粋,1. 常用漢字の通用字体,粹
1087,衰,1. 常用漢字の通用字体,
1088,推,1. 常用漢字の通用字体,
1089,酔,1. 常用漢字の通用字体,醉
1090,遂,1. 常用漢字の通用字体,
1091,睡,1. 常用漢字の通用字体,
1092,穂,1. 常用漢字の通用字体,穗
1093,随,1. 常用漢字の通用字体,
1094,髄,1. 常用漢字の通用字体,
1095,枢,1. 常用漢字の通用字体,
1096,崇,1. 常用漢字の通用字体,
1097,数,1. 常用漢字の通用字体,
1098,据,1. 常用漢字の通用字体,
1099,杉,1. 常用漢字の通用字体,
1100,裾,1. 常用漢字の通用字体,
1101,寸,1. 常用漢字の通用字体,
1102,瀬,1. 常用漢字の通用字体,瀨
1103,是,1. 常用漢字の通用字体,
1104,井,1. 常用漢字の通用字体,
1105,世,1. 常用漢字の通用字体,
1106,正,1. 常用漢字の通用字体,
1107,生,1. 常用漢字の通用字体,
1108,成,1. 常用漢字の通用字体,
1109,西,1. 常用漢字の通用字体,
1110,声,1. 常用漢字の通用字体,
1111,制,1. 常用漢字の通用字体,
1112,姓,1. 常用漢字の通用字体,
1113,征,1. 常用漢字の通用字体,
1114,性,1. 常用漢字の通用字体,
1115,青,1. 常用漢字の通用字体,
1116,斉,1. 常用漢字の通用字体,齊
1117,政,1. 常用漢字の通用字体,
1118,星,1. 常用漢字の通用字体,
1119,牲,1. 常用漢字の通用字体,
1120,省,1. 常用漢字の通用字体,
1121,凄,1. 常用漢字の通用字体,
1122,逝,1. 常用漢字の通用字体,
1123,清,1. 常用漢字の通用字体,
1124,盛,1. 常用漢字の通用字体,
1125,婿,1. 常用漢字の通用字体,
1126,晴,1. 常用漢字の通用字体,
1127,勢,1. 常用漢字の通用字体,
1128,聖,1. 常用漢字の通用字体,
1129,誠,1. 常用漢字の通用字体,
1130,精,1. 常用漢字の通用字体,
1131,製,1. 常用漢字の通用字体,
1132,誓,1. 常用漢字の通用字体,
1133,静,1. 常用漢字の通用字体,靜
1134,請,1. 常用漢字の通用字体,
1135,整,1. 常用漢字の通用字体,
1136,醒,1. 常用漢字の通用字体,
1137,税,1. 常用漢字の通用字体,
1138,夕,1. 常用漢字の通用字体,
1139,斥,1. 常用漢字の通用字体,
1140,石,1. 常用漢字の通用字体,
1141,赤,1. 常用漢字の通用字体,
1142,昔,1. 常用漢字の通用字体,
1143,析,1. 常用漢字の通用字体,
1144,席,1. 常用漢字の通用字体,
1145,脊,1. 常用漢字の通用字体,
1146,隻,1. 常用漢字の通用字体,
1147,惜,1. 常用漢字の通用字体,
1148,戚,1. 常用漢字の通用字体,
1149,責,1. 常用漢字の通用字体,
1150,跡,1. 常用漢字の通用字体,
1151,積,1. 常用漢字の通用字体,
1152,績,1. 常用漢字の通用字体,
1153,籍,1. 常用漢字の通用字体,
1154,切,1. 常用漢字の通用字体,
1155,折,1. 常用漢字の通用字体,
1156,拙,1. 常用漢字の通用字体,
1157,窃,1. 常用漢字の通用字体,
1158,接,1. 常用漢字の通用字体,
1159,設,1. 常用漢字の通用字体,
1160,雪,1. 常用漢字の通用字体,
1161,摂,1. 常用漢字の通用字体,攝
1162,節,1. 常用漢字の通用字体,節
1163,説,1. 常用漢字の通用字体,
1164,舌,1. 常用漢字の通用字体,
1165,絶,1. 常用漢字の通用字体,
1166,千,1. 常用漢字の通用字体,
1167,川,1. 常用漢字の通用字体,
1168,仙,1. 常用漢字の通用字体,
1169,占,1. 常用漢字の通用字体,
1170,先,1. 常用漢字の通用字体,
1171,宣,1. 常用漢字の通用字体,
1172,専,1. 常用漢字の通用字体,專
1173,泉,1. 常用漢字の通用字体,
1174,浅,1. 常用漢字の通用字体,
1175,洗,1. 常用漢字の通用字体,
1176,染,1. 常用漢字の通用字体,
1177,扇,1. 常用漢字の通用字体,
1178,栓,1. 常用漢字の通用字体,
1179,旋,1. 常用漢字の通用字体,
1180,船,1. 常用漢字の通用字体,
1181,戦,1. 常用漢字の通用字体,戰
1182,煎,1. 常用漢字の通用字体,
1183,羨,1. 常用漢字の通用字体,
1184,腺,1. 常用漢字の通用字体,
1185,詮,1. 常用漢字の通用字体,
1186,践,1. 常用漢字の通用字体,
1187,箋,1. 常用漢字の通用字体,
1188,銭,1. 常用漢字の通用字体,
1189,潜,1. 常用漢字の通用字体,
1190,線,1. 常用漢字の通用字体,
1191,遷,1. 常用漢字の通用字体,
1192,選,1. 常用漢字の通用字体,
1193,薦,1. 常用漢字の通用字体,
1194,繊,1. 常用漢字の通用字体,纖
1195,鮮,1. 常用漢字の通用字体,
1196,全,1. 常用漢字の通用字体,
1197,前,1. 常用漢字の通用字体,
1198,善,1. 常用漢字の通用字体,
1199,然,1. 常用漢字の通用字体,
1200,禅,1. 常用漢字の通用字体,禪
1201,漸,1. 常用漢字の通用字体,
1202,膳,1. 常用漢字の通用字体,
1203,繕,1. 常用漢字の通用字体,
1204,狙,1. 常用漢字の通用字体,
1205,阻,1. 常用漢字の通用字体,
1206,祖,1. 常用漢字の通用字体,祖
1207,租,1. 常用漢字の通用字体,
1208,素,1. 常用漢字の通用字体,
1209,措,1. 常用漢字の通用字体,
1210,粗,1. 常用漢字の通用字体,
1211,組,1. 常用漢字の通用字体,
1212,疎,1. 常用漢字の通用字体,
1213,訴,1. 常用漢字の通用字体,
1214,塑,1. 常用漢字の通用字体,
1215,遡,1. 常用漢字の通用字体,
1216,礎,1. 常用漢字の通用字体,
1217,双,1. 常用漢字の通用字体,
1218,壮,1. 常用漢字の通用字体,壯
1219,早,1. 常用漢字の通用字体,
1220,争,1. 常用漢字の通用字体,爭
1221,走,1. 常用漢字の通用字体,
1222,奏,1. 常用漢字の通用字体,
1223,相,1. 常用漢字の通用字体,
1224,荘,1. 常用漢字の通用字体,莊
1225,草,1. 常用漢字の通用字体,
1226,送,1. 常用漢字の通用字体,
1227,倉,1. 常用漢字の通用字体,
1228,捜,1. 常用漢字の通用字体,搜
1229,挿,1. 常用漢字の通用字体,
1230,桑,1. 常用漢字の通用字体,
1231,巣,1. 常用漢字の通用字体,巢
1232,掃,1. 常用漢字の通用字体,
1233,曹,1. 常用漢字の通用字体,
1234,曽,1. 常用漢字の通用字体,曾
1235,爽,1. 常用漢字の通用字体,
1236,窓,1. 常用漢字の通用字体,
1237,創,1. 常用漢字の通用字体,
1238,喪,1. 常用漢字の通用字体,
1239,痩,1. 常用漢字の通用字体,瘦
1240,葬,1. 常用漢字の通用字体,
1241,装,1. 常用漢字の通用字体,裝
1242,僧,1. 常用漢字の通用字体,僧
1243,想,1. 常用漢字の通用字体,
1244,層,1. 常用漢字の通用字体,層
1245,総,1. 常用漢字の通用字体,
1246,遭,1. 常用漢字の通用字体,
1247,槽,1. 常用漢字の通用字体,
1248,踪,1. 常用漢字の通用字体,
1249,操,1. 常用漢字の通用字体,
1250,燥,1. 常用漢字の通用字体,
1251,霜,1. 常用漢字の通用字体,
1252,騒,1. 常用漢字の通用字体,騷
1253,藻,1. 常用漢字の通用字体,
1254,造,1. 常用漢字の通用字体,
1255,像,1. 常用漢字の通用字体,
1256,増,1. 常用漢字の通用字体,增
1257,憎,1. 常用漢字の通用字体,憎
1258,蔵,1. 常用漢字の通用字体,藏
1259,贈,1. 常用漢字の通用字体,贈
1260,臓,1. 常用漢字の通用字体,臟
1261,即,1. 常用漢字の通用字体,卽
1262,束,1. 常用漢字の通用字体,
1263,足,1. 常用漢字の通用字体,
1264,促,1. 常用漢字の通用字体,
1265,則,1. 常用漢字の通用字体,
1266,息,1. 常用漢字の通用字体,
1267,捉,1. 常用漢字の通用字体,
1268,速,1. 常用漢字の通用字体,
1269,側,1. 常用漢字の通用字体,
1270,測,1. 常用漢字の通用字体,
1271,俗,1. 常用漢字の通用字体,
1272,族,1. 常用漢字の通用字体,
1273,属,1. 常用漢字の通用字体,
1274,賊,1. 常用漢字の通用字体,
1275,続,1. 常用漢字の通用字体,
1276,卒,1. 常用漢字の通用字体,
1277,率,1. 常用漢字の通用字体,
1278,存,1. 常用漢字の通用字体,
1279,村,1. 常用漢字の通用字体,
1280,孫,1. 常用漢字の通用字体,
1281,尊,1. 常用漢字の通用字体,
1282,損,1. 常用漢字の通用字体,
1283,遜,1. 常用漢字の通用字体,
1284,他,1. 常用漢字の通用字体,
1285,多,1. 常用漢字の通用字体,
1286,汰,1. 常用漢字の通用字体,
1287,打,1. 常用漢字の通用字体,
1288,妥,1. 常用漢字の通用字体,
1289,唾,1. 常用漢字の通用字体,
1290,堕,1. 常用漢字の通用字体,
1291,惰,1. 常用漢字の通用字体,
1292,駄,1. 常用漢字の通用字体,
1293,太,1. 常用漢字の通用字体,
1294,対,1. 常用漢字の通用字体,
1295,体,1. 常用漢字の通用字体,
1296,耐,1. 常用漢字の通用字体,
1297,待,1. 常用漢字の通用字体,
1298,怠,1. 常用漢字の通用字体,
1299,胎,1. 常用漢字の通用字体,
1300,退,1. 常用漢字の通用字体,
1301,帯,1. 常用漢字の通用字体,帶
1302,泰,1. 常用漢字の通用字体,
1303,堆,1. 常用漢字の通用字体,
1304,袋,1. 常用漢字の通用字体,
1305,逮,1. 常用漢字の通用字体,
1306,替,1. 常用漢字の通用字体,
1307,貸,1. 常用漢字の通用字体,
1308,隊,1. 常用漢字の通用字体,
1309,滞,1. 常用漢字の通用字体,滯
1310,態,1. 常用漢字の通用字体,
1311,戴,1. 常用漢字の通用字体,
1312,大,1. 常用漢字の通用字体,
1313,代,1. 常用漢字の通用字体,
1314,台,1. 常用漢字の通用字体,
1315,第,1. 常用漢字の通用字体,
1316,題,1. 常用漢字の通用字体,
1317,滝,1. 常用漢字の通用字体,瀧
1318,宅,1. 常用漢字の通用字体,
1319,択,1. 常用漢字の通用字体,
1320,沢,1. 常用漢字の通用字体,
1321,卓,1. 常用漢字の通用字体,
1322,拓,1. 常用漢字の通用字体,
1323,託,1. 常用漢字の通用字体,
1324,濯,1. 常用漢字の通用字体,
1325,諾,1. 常用漢字の通用字体,
1326,濁,1. 常用漢字の通用字体,
1327,但,1. 常用漢字の通用字体,
1328,達,1. 常用漢字の通用字体,
1329,脱,1. 常用漢字の通用字体,
1330,奪,1. 常用漢字の通用字体,
1331,棚,1. 常用漢字の通用字体,
1332,誰,1. 常用漢字の通用字体,
1333,丹,1. 常用漢字の通用字体,
1334,旦,1. 常用漢字の通用字体,
1335,担,1. 常用漢字の通用字体,
1336,単,1. 常用漢字の通用字体,單
1337,炭,1. 常用漢字の通用字体,
1338,胆,1. 常用漢字の通用字体,
1339,探,1. 常用漢字の通用字体,
1340,淡,1. 常用漢字の通用字体,
1341,短,1. 常用漢字の通用字体,
1342,嘆,1. 常用漢字の通用字体,嘆
1343,端,1. 常用漢字の通用字体,
1344,綻,1. 常用漢字の通用字体,
1345,誕,1. 常用漢字の通用字体,
1346,鍛,1. 常用漢字の通用字体,
1347,団,1. 常用漢字の通用字体,團
1348,男,1. 常用漢字の通用字体,
1349,段,1. 常用漢字の通用字体,
1350,断,1. 常用漢字の通用字体,
1351,弾,1. 常用漢字の通用字体,彈
1352,暖,1. 常用漢字の通用字体,
1353,談,1. 常用漢字の通用字体,
1354,壇,1. 常用漢字の通用字体,
1355,地,1. 常用漢字の通用字体,
1356,池,1. 常用漢字の通用字体,
1357,知,1. 常用漢字の通用字体,
1358,値,1. 常用漢字の通用字体,
1359,恥,1. 常用漢字の通用字体,
1360,致,1. 常用漢字の通用字体,
1361,遅,1. 常用漢字の通用字体,
1362,痴,1. 常用漢字の通用字体,
1363,稚,1. 常用漢字の通用字体,
1364,置,1. 常用漢字の通用字体,
1365,緻,1. 常用漢字の通用字体,
1366,竹,1. 常用漢字の通用字体,
1367,畜,1. 常用漢字の通用字体,
1368,逐,1. 常用漢字の通用字体,
1369,蓄,1. 常用漢字の通用字体,
1370,築,1. 常用漢字の通用字体,
1371,秩,1. 常用漢字の通用字体,
1372,窒,1. 常用漢字の通用字体,
1373,茶,1. 常用漢字の通用字体,
1374,着,1. 常用漢字の通用字体,
1375,嫡,1. 常用漢字の通用字体,
1376,中,1. 常用漢字の通用字体,
1377,仲,1. 常用漢字の通用字体,
1378,虫,1. 常用漢字の通用字体,
1379,沖,1. 常用漢字の通用字体,
1380,宙,1. 常用漢字の通用字体,
1381,忠,1. 常用漢字の通用字体,
1382,抽,1. 常用漢字の通用字体,
1383,注,1. 常用漢字の通用字体,
