識別番号,漢字,種類,異体字(表に含む)
161,稼,1. 常用漢字の通用字体,
162,課,1. 常用漢字の通用字体,
163,蚊,1. 常用漢字の通用字体,
164,牙,1. 常用漢字の通用字体,
165,瓦,1. 常用漢字の通用字体,
166,我,1. 常用漢字の通用字体,
167,画,1. 常用漢字の通用字体,
168,芽,1. 常用漢字の通用字体,
169,賀,1. 常用漢字の通用字体,
170,雅,1. 常用漢字の通用字体,
171,餓,1. 常用漢字の通用字体,
172,介,1. 常用漢字の通用字体,
173,回,1. 常用漢字の通用字体,
174,灰,1. 常用漢字の通用字体,
175,会,1. 常用漢字の通用字体,
176,快,1. 常用漢字の通用字体,
177,戒,1. 常用漢字の通用字体,
178,改,1. 常用漢字の通用字体,
179,怪,1. 常用漢字の通用字体,
180,拐,1. 常用漢字の通用字体,
181,悔,1. 常用漢字の通用字体,悔
182,海,1. 常用漢字の通用字体,海
183,界,1. 常用漢字の通用字体,
184,皆,1. 常用漢字の通用字体,
185,械,1. 常用漢字の通用字体,
186,絵,1. 常用漢字の通用字体,
187,開,1. 常用漢字の通用字体,
188,階,1. 常用漢字の通用字体,
189,塊,1. 常用漢字の通用字体,
190,楷,1. 常用漢字の通用字体,
191,解,1. 常用漢字の通用字体,
192,潰,1. 常用漢字の通用字体,
193,壊,1. 常用漢字の通用字体,壞
194,懐,1. 常用漢字の通用字体,懷
195,諧,1. 常用漢字の通用字体,
196,貝,1. 常用漢字の通用字体,
197,外,1. 常用漢字の通用字体,
198,劾,1. 常用漢字の通用字体,
199,害,1. 常用漢字の通用字体,
200,崖,1. 常用漢字の通用字体,
201,涯,1. 常用漢字の通用字体,
202,街,1. 常用漢字の通用字体,
203,慨,1. 常用漢字の通用字体,
204,蓋,1. 常用漢字の通用字体,
205,該,1. 常用漢字の通用字体,
206,概,1. 常用漢字の通用字体,
207,骸,1. 常用漢字の通用字体,
208,垣,1. 常用漢字の通用字体,
209,柿,1. 常用漢字の通用字体,
210,各,1. 常用漢字の通用字体,
211,角,1. 常用漢字の通用字体,
212,拡,1. 常用漢字の通用字体,
213,革,1. 常用漢字の通用字体,
214,格,1. 常用漢字の通用字体,
215,核,1. 常用漢字の通用字体,
216,殻,1. 常用漢字の通用字体,
217,郭,1. 常用漢字の通用字体,
218,覚,1. 常用漢字の通用字体,
219,較,1. 常用漢字の通用字体,
220,隔,1. 常用漢字の通用字体,
221,閣,1. 常用漢字の通用字体,
222,確,1. 常用漢字の通用字体,
223,獲,1. 常用漢字の通用字体,
224,嚇,1. 常用漢字の通用字体,
225,穫,1. 常用漢字の通用字体,
226,学,1. 常用漢字の通用字体,
227,岳,1. 常用漢字の通用字体,
228,楽,1. 常用漢字の通用字体,樂
229,額,1. 常用漢字の通用字体,
230,顎,1. 常用漢字の通用字体,
231,掛,1. 常用漢字の通用字体,
232,潟,1. 常用漢字の通用字体,
233,括,1. 常用漢字の通用字体,
234,活,1. 常用漢字の通用字体,
235,喝,1. 常用漢字の通用字体,
236,渇,1. 常用漢字の通用字体,渴
237,割,1. 常用漢字の通用字体,
238,葛,1. 常用漢字の通用字体,
239,滑,1. 常用漢字の通用字体,
240,褐,1. 常用漢字の通用字体,
241,轄,1. 常用漢字の通用字体,
242,且,1. 常用漢字の通用字体,
243,株,1. 常用漢字の通用字体,
244,釜,1. 常用漢字の通用字体,
245,鎌,1. 常用漢字の通用字体,
246,刈,1. 常用漢字の通用字体,
247,干,1. 常用漢字の通用字体,
248,刊,1. 常用漢字の通用字体,
249,甘,1. 常用漢字の通用字体,
250,汗,1. 常用漢字の通用字体,
251,缶,1. 常用漢字の通用字体,
252,完,1. 常用漢字の通用字体,
253,肝,1. 常用漢字の通用字体,
254,官,1. 常用漢字の通用字体,
255,冠,1. 常用漢字の通用字体,
256,巻,1. 常用漢字の通用字体,卷
257,看,1. 常用漢字の通用字体,
258,陥,1. 常用漢字の通用字体,陷
259,乾,1. 常用漢字の通用字体,
260,勘,1. 常用漢字の通用字体,
261,患,1. 常用漢字の通用字体,
262,貫,1. 常用漢字の通用字体,
263,寒,1. 常用漢字の通用字体,
264,喚,1. 常用漢字の通用字体,
265,堪,1. 常用漢字の通用字体,
266,換,1. 常用漢字の通用字体,
267,敢,1. 常用漢字の通用字体,
268,棺,1. 常用漢字の通用字体,
269,款,1. 常用漢字の通用字体,
270,間,1. 常用漢字の通用字体,
271,閑,1. 常用漢字の通用字体,
272,勧,1. 常用漢字の通用字体,
273,寛,1. 常用漢字の通用字体,寬
274,幹,1. 常用漢字の通用字体,
275,感,1. 常用漢字の通用字体,
276,漢,1. 常用漢字の通用字体,漢
277,慣,1. 常用漢字の通用字体,
278,管,1. 常用漢字の通用字体,
279,関,1. 常用漢字の通用字体,
280,歓,1. 常用漢字の通用字体,
281,監,1. 常用漢字の通用字体,
282,緩,1. 常用漢字の通用字体,
283,憾,1. 常用漢字の通用字体,
284,還,1. 常用漢字の通用字体,
285,館,1. 常用漢字の通用字体,
286,環,1. 常用漢字の通用字体,
287,簡,1. 常用漢字の通用字体,
288,観,1. 常用漢字の通用字体,
289,韓,1. 常用漢字の通用字体,
290,艦,1. 常用漢字の通用字体,
291,鑑,1. 常用漢字の通用字体,
292,丸,1. 常用漢字の通用字体,
293,含,1. 常用漢字の通用字体,
294,岸,1. 常用漢字の通用字体,
295,岩,1. 常用漢字の通用字体,
296,玩,1. 常用漢字の通用字体,
297,眼,1. 常用漢字の通用字体,
298,頑,1. 常用漢字の通用字体,
299,顔,1. 常用漢字の通用字体,
300,願,1. 常用漢字の通用字体,
301,企,1. 常用漢字の通用字体,
302,伎,1. 常用漢字の通用字体,
303,危,1. 常用漢字の通用字体,
304,机,1. 常用漢字の通用字体,
305,気,1. 常用漢字の通用字体,氣
306,岐,1. 常用漢字の通用字体,
307,希,1. 常用漢字の通用字体,
308,忌,1. 常用漢字の通用字体,
309,汽,1. 常用漢字の通用字体,
310,奇,1. 常用漢字の通用字体,
311,祈,1. 常用漢字の通用字体,祈
312,季,1. 常用漢字の通用字体,
313,紀,1. 常用漢字の通用字体,
314,軌,1. 常用漢字の通用字体,
315,既,1. 常用漢字の通用字体,
316,記,1. 常用漢字の通用字体,
317,起,1. 常用漢字の通用字体,
318,飢,1. 常用漢字の通用字体,
319,鬼,1. 常用漢字の通用字体,
320,帰,1. 常用漢字の通用字体,
321,基,1. 常用漢字の通用字体,
322,寄,1. 常用漢字の通用字体,
323,規,1. 常用漢字の通用字体,
324,亀,1. 常用漢字の通用字体,
325,喜,1. 常用漢字の通用字体,
326,幾,1. 常用漢字の通用字体,
327,揮,1. 常用漢字の通用字体,
328,期,1. 常用漢字の通用字体,
329,棋,1. 常用漢字の通用字体,
330,貴,1. 常用漢字の通用字体,
331,棄,1. 常用漢字の通用字体,
332,毀,1. 常用漢字の通用字体,
333,旗,1. 常用漢字の通用字体,
334,器,1. 常用漢字の通用字体,器
335,畿,1. 常用漢字の通用字体,
336,輝,1. 常用漢字の通用字体,
337,機,1. 常用漢字の通用字体,
338,騎,1. 常用漢字の通用字体,
339,技,1. 常用漢字の通用字体,
340,宜,1. 常用漢字の通用字体,
341,偽,1. 常用漢字の通用字体,僞
342,欺,1. 常用漢字の通用字体,
343,義,1. 常用漢字の通用字体,
344,疑,1. 常用漢字の通用字体,
345,儀,1. 常用漢字の通用字体,
346,戯,1. 常用漢字の通用字体,戲
347,擬,1. 常用漢字の通用字体,
348,犠,1. 常用漢字の通用字体,
349,議,1. 常用漢字の通用字体,
350,菊,1. 常用漢字の通用字体,
351,吉,1. 常用漢字の通用字体,
352,喫,1. 常用漢字の通用字体,
353,詰,1. 常用漢字の通用字体,
354,却,1. 常用漢字の通用字体,
355,客,1. 常用漢字の通用字体,
356,脚,1. 常用漢字の通用字体,
