漢字,部首ID,部首,部首名
蒸,140c,艹,くさかんむり・そうこう
蓄,140c,艹,くさかんむり・そうこう
蓋,140c,艹,くさかんむり・そうこう
蔑,140c,艹,くさかんむり・そうこう
蔵,140c,艹,くさかんむり・そうこう
蔽,140c,艹,くさかんむり・そうこう
薄,140c,艹,くさかんむり・そうこう
薦,140c,艹,くさかんむり・そうこう
薪,140c,艹,くさかんむり・そうこう
薫,140c,艹,くさかんむり・そうこう
薬,140c,艹,くさかんむり・そうこう
藍,140c,艹,くさかんむり・そうこう
藤,140c,艹,くさかんむり・そうこう
藩,140c,艹,くさかんむり・そうこう
藻,140c,艹,くさかんむり・そうこう
虎,141b,虍,とらがしら・とらかんむり
虐,141b,虍,とらがしら・とらかんむり
虚,141b,虍,とらがしら・とらかんむり
虜,141b,虍,とらがしら・とらかんむり
虞,141b,虍,とらがしら・とらかんむり
虫,142a,虫,むし
蚕,142a,虫,むし
蛍,142a,虫,むし
蛮,142a,虫,むし
蜜,142a,虫,むし
融,142a,虫,むし
虹,142b,虫,むしへん
蚊,142b,虫,むしへん
蛇,142b,虫,むしへん
蜂,142b,虫,むしへん
血,143,血,ち
衆,143,血,ち
行,144a,行,ぎょう
術,144b,行,ぎょうがまえ・ゆきがまえ
街,144b,行,ぎょうがまえ・ゆきがまえ
衛,144b,行,ぎょうがまえ・ゆきがまえ
衝,144b,行,ぎょうがまえ・ゆきがまえ
衡,144b,行,ぎょうがまえ・ゆきがまえ
衣,145a,衣,ころも
表,145a,衣,ころも
衰,145a,衣,ころも
衷,145a,衣,ころも
袋,145a,衣,ころも
裁,145a,衣,ころも
裂,145a,衣,ころも
装,145a,衣,ころも
裏,145a,衣,ころも
製,145a,衣,ころも
褒,145a,衣,ころも
襲,145a,衣,ころも
袖,145b,衤,ころもへん
被,145b,衤,ころもへん
裕,145b,衤,ころもへん
補,145b,衤,ころもへん
裸,145b,衤,ころもへん
裾,145b,衤,ころもへん
複,145b,衤,ころもへん
褐,145b,衤,ころもへん
襟,145b,衤,ころもへん
西,146b,西,にし
要,146c,覀,おおいかんむり
覆,146c,覀,おおいかんむり
覇,146c,覀,おおいかんむり
見,147,見,みる
規,147,見,みる
視,147,見,みる
覚,147,見,みる
覧,147,見,みる
親,147,見,みる
観,147,見,みる
角,148a,角,かく・つの
解,148b,角,つのへん
触,148b,角,つのへん
言,149a,言,げん
誉,149a,言,げん
誓,149a,言,げん
謄,149a,言,げん
警,149a,言,げん
訂,149b,言,ごんべん
訃,149b,言,ごんべん
計,149b,言,ごんべん
討,149b,言,ごんべん
訓,149b,言,ごんべん
託,149b,言,ごんべん
記,149b,言,ごんべん
訟,149b,言,ごんべん
訪,149b,言,ごんべん
設,149b,言,ごんべん
許,149b,言,ごんべん
訳,149b,言,ごんべん
訴,149b,言,ごんべん
診,149b,言,ごんべん
証,149b,言,ごんべん
詐,149b,言,ごんべん
詔,149b,言,ごんべん
評,149b,言,ごんべん
詞,149b,言,ごんべん
詠,149b,言,ごんべん
詣,149b,言,ごんべん
試,149b,言,ごんべん
詩,149b,言,ごんべん
詮,149b,言,ごんべん
詰,149b,言,ごんべん
話,149b,言,ごんべん
該,149b,言,ごんべん
詳,149b,言,ごんべん
誇,149b,言,ごんべん
誌,149b,言,ごんべん
認,149b,言,ごんべん
誕,149b,言,ごんべん
誘,149b,言,ごんべん
語,149b,言,ごんべん
誠,149b,言,ごんべん
誤,149b,言,ごんべん
説,149b,言,ごんべん
読,149b,言,ごんべん
誰,149b,言,ごんべん
課,149b,言,ごんべん
調,149b,言,ごんべん
談,149b,言,ごんべん
請,149b,言,ごんべん
論,149b,言,ごんべん
諦,149b,言,ごんべん
諧,149b,言,ごんべん
諭,149b,言,ごんべん
諮,149b,言,ごんべん
諸,149b,言,ごんべん
諾,149b,言,ごんべん
謀,149b,言,ごんべん
謁,149b,言,ごんべん
謎,149b,言,ごんべん
謙,149b,言,ごんべん
講,149b,言,ごんべん
謝,149b,言,ごんべん
謡,149b,言,ごんべん
謹,149b,言,ごんべん
識,149b,言,ごんべん
譜,149b,言,ごんべん
議,149b,言,ごんべん
譲,149b,言,ごんべん
護,149b,言,ごんべん
谷,150,谷,たに
豆,151a,豆,まめ
豊,151a,豆,まめ
豚,152,豕,ぶた・いのこ
象,152,豕,ぶた・いのこ
豪,152,豕,ぶた・いのこ
貌,153b,豸,むじなへん
貝,154a,貝,かい・こがい
貞,154a,貝,かい・こがい
負,154a,貝,かい・こがい
貢,154a,貝,かい・こがい
貧,154a,貝,かい・こがい
貨,154a,貝,かい・こがい
貪,154a,貝,かい・こがい
貫,154a,貝,かい・こがい
責,154a,貝,かい・こがい
貴,154a,貝,かい・こがい
買,154a,貝,かい・こがい
貸,154a,貝,かい・こがい
費,154a,貝,かい・こがい
貿,154a,貝,かい・こがい
賀,154a,貝,かい・こがい
賃,154a,貝,かい・こがい
資,154a,貝,かい・こがい
賓,154a,貝,かい・こがい
賛,154a,貝,かい・こがい
賞,154a,貝,かい・こがい
賢,154a,貝,かい・こがい
質,154a,貝,かい・こがい
財,154b,貝,かいへん
販,154b,貝,かいへん
貯,154b,貝,かいへん
貼,154b,貝,かいへん
賂,154b,貝,かいへん
賄,154b,貝,かいへん
賊,154b,貝,かいへん
賜,154b,貝,かいへん
賠,154b,貝,かいへん
賦,154b,貝,かいへん
賭,154b,貝,かいへん
購,154b,貝,かいへん
贈,154b,貝,かいへん
赤,155,赤,あか
赦,155,赤,あか
走,156a,走,はしる
赴,156b,走,そうにょう
起,156b,走,そうにょう
超,156b,走,そうにょう
越,156b,走,そうにょう
趣,156b,走,そうにょう
足,157a,足,あし
距,157b,𧾷,あしへん
跡,157b,𧾷,あしへん
路,157b,𧾷,あしへん
跳,157b,𧾷,あしへん
践,157b,𧾷,あしへん
踊,157b,𧾷,あしへん
踏,157b,𧾷,あしへん
踪,157b,𧾷,あしへん
蹴,157b,𧾷,あしへん
躍,157b,𧾷,あしへん
身,158,身,み
車,159a,車,くるま
軍,159a,車,くるま
載,159a,車,くるま
輝,159a,車,くるま
輩,159a,車,くるま
軌,159b,車,くるまへん
軒,159b,車,くるまへん
軟,159b,車,くるまへん
転,159b,車,くるまへん
軸,159b,車,くるまへん
軽,159b,車,くるまへん
較,159b,車,くるまへん
輪,159b,車,くるまへん
輸,159b,車,くるまへん
轄,159b,車,くるまへん
辛,160,辛,からい
辞,160,辛,からい
辣,160,辛,からい
辱,161,辰,しんのたつ
農,161,辰,しんのたつ
遜,162b,辶,しんにょう・しんにゅう
遡,162b,辶,しんにょう・しんにゅう
辺,162c,辶,しんにょう・しんにゅう
込,162c,辶,しんにょう・しんにゅう
迅,162c,辶,しんにょう・しんにゅう
迎,162c,辶,しんにょう・しんにゅう
近,162c,辶,しんにょう・しんにゅう
返,162c,辶,しんにょう・しんにゅう
迫,162c,辶,しんにょう・しんにゅう
迭,162c,辶,しんにょう・しんにゅう
述,162c,辶,しんにょう・しんにゅう
迷,162c,辶,しんにょう・しんにゅう
追,162c,辶,しんにょう・しんにゅう
退,162c,辶,しんにょう・しんにゅう
送,162c,辶,しんにょう・しんにゅう
逃,162c,辶,しんにょう・しんにゅう
逆,162c,辶,しんにょう・しんにゅう
透,162c,辶,しんにょう・しんにゅう
逐,162c,辶,しんにょう・しんにゅう
逓,162c,辶,しんにょう・しんにゅう
途,162c,辶,しんにょう・しんにゅう
通,162c,辶,しんにょう・しんにゅう
逝,162c,辶,しんにょう・しんにゅう
速,162c,辶,しんにょう・しんにゅう
造,162c,辶,しんにょう・しんにゅう
連,162c,辶,しんにょう・しんにゅう
逮,162c,辶,しんにょう・しんにゅう
週,162c,辶,しんにょう・しんにゅう
進,162c,辶,しんにょう・しんにゅう
逸,162c,辶,しんにょう・しんにゅう
遂,162c,辶,しんにょう・しんにゅう
遅,162c,辶,しんにょう・しんにゅう
遇,162c,辶,しんにょう・しんにゅう
遊,162c,辶,しんにょう・しんにゅう
運,162c,辶,しんにょう・しんにゅう
遍,162c,辶,しんにょう・しんにゅう
過,162c,辶,しんにょう・しんにゅう
道,162c,辶,しんにょう・しんにゅう
達,162c,辶,しんにょう・しんにゅう
違,162c,辶,しんにょう・しんにゅう
遠,162c,辶,しんにょう・しんにゅう
遣,162c,辶,しんにょう・しんにゅう
適,162c,辶,しんにょう・しんにゅう
遭,162c,辶,しんにょう・しんにゅう
遮,162c,辶,しんにょう・しんにゅう
遵,162c,辶,しんにょう・しんにゅう
遷,162c,辶,しんにょう・しんにゅう
選,162c,辶,しんにょう・しんにゅう
遺,162c,辶,しんにょう・しんにゅう
避,162c,辶,しんにょう・しんにゅう
還,162c,辶,しんにょう・しんにゅう
那,163b,阝,おおざと
邦,163b,阝,おおざと
邪,163b,阝,おおざと
邸,163b,阝,おおざと
郊,163b,阝,おおざと
郎,163b,阝,おおざと
郡,163b,阝,おおざと
部,163b,阝,おおざと
郭,163b,阝,おおざと
郵,163b,阝,おおざと
郷,163b,阝,おおざと
都,163b,阝,おおざと
酒,164a,酉,ひよみのとり・こよみのとり
酌,164b,酉,とりへん
配,164b,酉,とりへん
酎,164b,酉,とりへん
酔,164b,酉,とりへん
酢,164b,酉,とりへん
酪,164b,酉,とりへん
酬,164b,酉,とりへん
酵,164b,酉,とりへん
酷,164b,酉,とりへん
酸,164b,酉,とりへん
醒,164b,酉,とりへん
醜,164b,酉,とりへん
醸,164b,酉,とりへん
采,165a,釆,のごめ
釈,165b,釆,のごめへん
里,166a,里,さと
重,166a,里,さと
量,166a,里,さと
野,166b,里,さとへん
金,167a,金,かね
釜,167a,金,かね
針,167b,金,かねへん
釣,167b,金,かねへん
鈍,167b,金,かねへん
鈴,167b,金,かねへん
鉄,167b,金,かねへん
鉛,167b,金,かねへん
鉢,167b,金,かねへん
鉱,167b,金,かねへん
銀,167b,金,かねへん
銃,167b,金,かねへん
銅,167b,金,かねへん
銘,167b,金,かねへん
銭,167b,金,かねへん
鋭,167b,金,かねへん
鋳,167b,金,かねへん
鋼,167b,金,かねへん
錠,167b,金,かねへん
錦,167b,金,かねへん
錬,167b,金,かねへん
錮,167b,金,かねへん
錯,167b,金,かねへん
録,167b,金,かねへん
鍋,167b,金,かねへん
鍛,167b,金,かねへん
鍵,167b,金,かねへん
鎌,167b,金,かねへん
鎖,167b,金,かねへん
鎮,167b,金,かねへん
鏡,167b,金,かねへん
鐘,167b,金,かねへん
鑑,167b,金,かねへん
長,168,長,ながい
門,169a,門,もん
閉,169b,門,もんがまえ
開,169b,門,もんがまえ
閑,169b,門,もんがまえ
間,169b,門,もんがまえ
関,169b,門,もんがまえ
閣,169b,門,もんがまえ
閥,169b,門,もんがまえ
閲,169b,門,もんがまえ
闇,169b,門,もんがまえ
闘,169b,門,もんがまえ
阜,170a,阜,おか
阪,170b,阝,こざとへん
防,170b,阝,こざとへん
阻,170b,阝,こざとへん
附,170b,阝,こざとへん
降,170b,阝,こざとへん
限,170b,阝,こざとへん
陛,170b,阝,こざとへん
院,170b,阝,こざとへん
陣,170b,阝,こざとへん
除,170b,阝,こざとへん
陥,170b,阝,こざとへん
陪,170b,阝,こざとへん
陰,170b,阝,こざとへん
陳,170b,阝,こざとへん
陵,170b,阝,こざとへん
陶,170b,阝,こざとへん
陸,170b,阝,こざとへん
険,170b,阝,こざとへん
陽,170b,阝,こざとへん
隅,170b,阝,こざとへん
隆,170b,阝,こざとへん
隊,170b,阝,こざとへん
階,170b,阝,こざとへん
随,170b,阝,こざとへん
隔,170b,阝,こざとへん
隙,170b,阝,こざとへん
際,170b,阝,こざとへん
障,170b,阝,こざとへん
隠,170b,阝,こざとへん
隣,170b,阝,こざとへん
隷,171b,隶,れいづくり
隻,172,隹,ふるとり
雄,172,隹,ふるとり
雅,172,隹,ふるとり
集,172,隹,ふるとり
雇,172,隹,ふるとり
雌,172,隹,ふるとり
雑,172,隹,ふるとり
離,172,隹,ふるとり
難,172,隹,ふるとり
雨,173a,雨,あめ
雪,173b,雨,あめかんむり・あまかんむり
雰,173b,雨,あめかんむり・あまかんむり
雲,173b,雨,あめかんむり・あまかんむり
零,173b,雨,あめかんむり・あまかんむり
雷,173b,雨,あめかんむり・あまかんむり
電,173b,雨,あめかんむり・あまかんむり
需,173b,雨,あめかんむり・あまかんむり
震,173b,雨,あめかんむり・あまかんむり
霊,173b,雨,あめかんむり・あまかんむり
霜,173b,雨,あめかんむり・あまかんむり
霧,173b,雨,あめかんむり・あまかんむり
露,173b,雨,あめかんむり・あまかんむり
青,174b,青,あお
静,174b,青,あお
非,175,非,あらず・ひ
面,176,面,めん
革,177a,革,かくのかわ・つくりがわ
靴,177b,革,かわへん
韓,178b,韋,なめしがわ
音,180,音,おと
韻,180,音,おと
響,180,音,おと
頂,181b,頁,おおがい
頃,181b,頁,おおがい
項,181b,頁,おおがい
順,181b,頁,おおがい
須,181b,頁,おおがい
預,181b,頁,おおがい
頑,181b,頁,おおがい
頒,181b,頁,おおがい
頓,181b,頁,おおがい
領,181b,頁,おおがい
頭,181b,頁,おおがい
頰,181b,頁,おおがい
頻,181b,頁,おおがい
頼,181b,頁,おおがい
題,181b,頁,おおがい
額,181b,頁,おおがい
顎,181b,頁,おおがい
顔,181b,頁,おおがい
顕,181b,頁,おおがい
願,181b,頁,おおがい
類,181b,頁,おおがい
顧,181b,頁,おおがい
風,182,風,かぜ
飛,183,飛,とぶ
食,184a,食,しょく
養,184a,食,しょく
餅,184b,𩙿,しょくへん
餌,184b,𩙿,しょくへん
飢,184c,飠,しょくへん
飯,184c,飠,しょくへん
飲,184c,飠,しょくへん
飼,184c,飠,しょくへん
飽,184c,飠,しょくへん
飾,184c,飠,しょくへん
餓,184c,飠,しょくへん
館,184c,飠,しょくへん
首,185,首,くび
香,186,香,か・かおり
馬,187a,馬,うま
騰,187a,馬,うま
驚,187a,馬,うま
駄,187b,馬,うまへん
駅,187b,馬,うまへん
駆,187b,馬,うまへん
駐,187b,馬,うまへん
駒,187b,馬,うまへん
騎,187b,馬,うまへん
騒,187b,馬,うまへん
験,187b,馬,うまへん
骨,188a,骨,ほね
骸,188b,骨,ほねへん
髄,188b,骨,ほねへん
高,189,高,たかい
髪,190b,髟,かみがしら・かみかんむり
鬱,192,鬯,ちょう
鬼,194a,鬼,おに
魂,194a,鬼,おに
魔,194a,鬼,おに
魅,194b,鬼,きにょう
魚,195a,魚,うお
鮮,195b,魚,うおへん
鯨,195b,魚,うおへん
鳥,196,鳥,とり
鳴,196,鳥,とり
鶏,196,鳥,とり
鶴,196,鳥,とり
鹿,198,鹿,しか
麗,198,鹿,しか
麦,199c,麦,むぎ
麺,199d,麦,ばくにょう
麻,200b,麻,あさ
黄,201b,黄,き
黒,203b,黒,くろ
黙,203b,黒,くろ
鼓,207,鼓,つづみ
鼻,209b,鼻,はな
斉,210b,斉,せい
斎,210b,斉,せい
歯,211b,歯,は
齢,211c,歯,はへん
竜,212b,竜,りゅう
亀,213b,亀,かめ
