掲載ページ,漢字識別番号,字体識別番号,漢字,字体,漢検級,補足
1,1,1,丫,,1級,
1,2,2,亜,,準2級,
1,2,3,亞,旧字,1/準1級,
1,3,4,阿,,準1級,
3,4,5,啞,,準1級,
3,4,6,唖,異体字,,
3,5,7,堊,,1級,
3,6,8,婀,,1級,
3,7,9,椏,,1級,
3,8,10,蛙,,準1級,
3,9,11,痾,,1級,
4,10,12,鴉,,1級,
4,10,13,,異体字,,
4,11,14,錏,,1級,
4,12,15,鐚,,1級,
4,13,16,阨,,1級,
4,14,17,哀,,3級,
5,15,18,哇,,1級,
5,16,19,娃,,準1級,
5,17,20,埃,,1級,
5,18,21,挨,,2級,
5,19,22,欸,,1級,
5,20,23,愛,,7級,
7,21,24,隘,,1級,
7,22,25,鞋,,1級,
7,23,26,噯,,1級,
7,24,27,曖,,2級,
7,25,28,藹,,1級,
7,26,29,靄,,1級,
7,27,30,靉,,1級,
8,28,31,,,1級,魚惠
9,29,32,偓,,準1級,
9,30,33,悪,,8級,
9,30,34,惡,旧字,1/準1級,
11,31,35,幄,,1級,
11,32,36,握,,4級,
12,33,37,渥,,準1級,
12,34,38,齷,,1級,
14,35,39,圧,,6級,
14,35,40,壓,旧字,1/準1級,
14,36,41,軋,,1級,
15,37,42,遏,,1級,
15,38,43,斡,,準1級,
15,39,44,,,1級,
15,39,45,閼,異体字,,
15,40,46,扱,,4級,
15,40,47,,旧字,1/準1級,
15,41,48,遖,,1級,
16,42,49,宛,,2級,
18,43,50,嵐,,2級,
19,44,51,蚫,,1級,
19,45,52,安,,8級,
21,46,53,按,,準1級,
21,47,54,晏,,1級,
21,48,55,案,,7級,
22,49,56,庵,,準1級,
22,50,57,菴,,1級,
22,51,58,暗,,8級,
23,52,59,罨,,1級,
23,53,60,鞍,,準1級,
24,54,61,諳,,1級,
24,55,62,餡,,1級,
24,56,63,鮟,,1級,
24,57,64,黯,,1級,
24,58,65,已,,1級,
24,59,66,以,,7級,
25,60,67,伊,,準1級,
25,61,68,夷,,準1級,
26,62,69,衣,,7級,
27,63,70,位,,7級,
27,64,71,医,,8級,
27,64,72,醫,旧字,1/準1級,
27,65,73,囲,,6級,
28,65,74,圍,旧字,1/準1級,
28,66,75,矣,,1級,
28,67,76,依,,4級,
28,68,77,委,,8級,
29,69,78,怡,,1級,
29,70,79,苡,,1級,
29,71,80,威,,4級,
29,72,81,姨,,1級,
30,73,82,洟,,1級,
30,74,83,為,,4級,
30,74,84,爲,旧字,1/準1級,
30,75,85,畏,,2級,
30,76,86,胃,,5級,
31,77,87,倚,,1級,
31,78,88,恚,,1級,
31,79,89,韋,,1級,
31,79,90,,異体字,,
31,80,91,尉,,準2級,
31,81,92,帷,,1級,
32,82,93,惟,,準1級,
32,83,94,猗,,1級,
32,84,95,異,,5級,
32,84,96,,旧字,1/準1級,
33,85,97,痍,,1級,
33,86,98,移,,6級,
34,87,99,萎,,2級,
34,88,100,偉,,4級,
34,88,101,,旧字,1/準1級,
34,89,102,幃,,1級,
34,90,103,椅,,2級,
35,91,104,欹,,1級,
35,92,105,渭,,1級,
35,93,106,貽,,1級,
35,94,107,彙,,2級,
35,95,108,意,,8級,
36,96,109,痿,,1級,
36,97,110,肄,,1級,
36,98,111,葦,,準1級,
36,98,112,,異体字,,
37,99,113,違,,4級,
37,99,114,,旧字,1/準1級,
37,100,115,維,,4級,
37,101,116,飴,,準1級,
37,101,117,,異体字,,
37,102,118,慰,,3級,
38,103,119,熨,,1級,
38,104,120,蝟,,1級,
38,105,121,遺,,5級,
38,105,122,,旧字,1/準1級,
39,106,123,頤,,1級,
39,107,124,噫,,1級,
40,108,125,緯,,4級,
40,108,126,,旧字,1/準1級,
40,109,127,縊,,1級,
40,110,128,謂,,準1級,
40,111,129,鮪,,準1級,
40,112,130,彝,,1級,
40,112,131,彜,異体字,,
40,113,132,鰄,,1級,
40,114,133,饐,,1級,
40,115,134,懿,,1級,
41,116,135,鵤,,1級,
41,117,136,域,,5級,
41,118,137,閾,,1級,
42,119,138,育,,8級,
42,119,139,,旧字,1/準1級,
42,120,140,郁,,準1級,
42,121,141,澳,,1級,
42,122,142,燠,,1級,
42,123,143,鬻,,1級,
43,124,144,,,1級,𩶗
43,125,145,鶍,,1級,
44,126,146,一,,10級,
56,127,147,弌,,1級,
56,128,148,壱,,4級,
56,128,149,壹,旧字,1/準1級,
56,129,150,聿,,1級,
56,130,151,佚,,1級,
56,131,152,逸,,準2級,
56,131,153,逸,旧字,1/準1級,
57,132,154,軼,,1級,
57,133,155,溢,,準1級,
57,133,156,,異体字,,
57,134,157,,,1級,
57,134,158,鴪,異体字,,
57,135,159,鎰,,1級,
58,136,160,鷸,,1級,
58,137,161,茨,,7級,
59,138,162,芋,,4級,
60,139,163,圦,,1級,
60,140,164,鰯,,準1級,
60,140,165,,異体字,,
61,141,166,,,1級,魚未
61,142,167,允,,準1級,
61,143,168,尹,,1級,
61,144,169,引,,9級,
62,145,170,印,,7級,
62,146,171,因,,6級,
63,147,172,咽,,2級,
63,148,173,姻,,準2級,
63,149,174,胤,,準1級,
63,150,175,茵,,1級,
63,151,176,員,,8級,
64,152,177,殷,,1級,
64,153,178,蚓,,1級,
64,154,179,院,,8級,
64,155,180,婬,,1級,
64,156,181,寅,,準1級,
64,157,182,淫,,2級,
64,157,183,,異体字,,
65,158,184,陰,,4級,
66,159,185,喑,,1級,
66,160,186,,,1級,
66,160,187,堙,異体字,,
66,161,188,,,1級,
66,161,189,湮,異体字,,
66,162,190,飲,,8級,
66,162,191,飮,旧字,1/準1級,
67,163,192,隕,,1級,
67,164,193,慇,,1級,
67,165,194,殞,,1級,
67,166,195,蔭,,準1級,
67,167,196,酳,,1級,
67,168,197,隠,,4級,
67,168,198,隱,旧字,1/準1級,
68,169,199,螾,,1級,
68,170,200,贇,,1級,
68,171,201,霪,,1級,
68,172,202,韻,,準2級,
68,172,203,韵,異体字,1級,
69,173,204,于,,1級,
69,174,205,右,,10級,
69,175,206,宇,,5級,
69,176,207,羽,,9級,
69,176,208,,旧字,1/準1級,
70,177,209,迂,,準1級,
70,177,210,,異体字,,
70,178,211,盂,,1級,
70,179,212,雨,,10級,
72,180,213,禹,,1級,
72,181,214,竽,,1級,
72,182,215,紆,,1級,
72,183,216,桙,,1級,
72,184,217,烏,,準1級,
73,185,218,傴,,1級,
73,186,219,齲,,1級,
74,187,220,茴,,1級,
74,188,221,鯏,,1級,
74,189,222,鯎,,1級,
75,190,223,唄,,2級,
76,191,224,蔚,,準1級,
76,192,225,鬱,,2級,
76,192,226,,異体字,準1級,
78,193,227,畝,,準2級,
79,194,228,浦,,準2級,
80,195,229,云,,準1級,
80,196,230,,,1級,元の芸
80,197,231,紜,,1級,
80,198,232,耘,,1級,
80,199,233,運,,8級,
80,199,234,,旧字,1/準1級,
81,200,235,雲,,9級,
82,201,236,慍,,1級,
82,202,237,暈,,1級,
83,203,238,褞,,1級,
83,204,239,縕,,1級,
83,205,240,薀,,1級,
83,206,241,繧,,1級,
83,207,242,蘊,,1級,
83,208,243,,,1級,
83,209,244,饂,,1級,
84,210,245,永,,6級,
84,211,246,曳,,準1級,
84,212,247,咏,,1級,
84,213,248,泳,,8級,
85,214,249,英,,7級,
85,215,250,映,,5級,
85,216,251,栄,,7級,
85,216,252,榮,旧字,1/準1級,
86,217,253,洩,,準1級,
86,218,254,盈,,準1級,
86,219,255,郢,,1級,
87,220,256,営,,6級,
87,220,257,營,旧字,1/準1級,
87,221,258,瑛,,準1級,
87,222,259,詠,,3級,
87,223,260,塋,,1級,
87,224,261,楹,,1級,
87,225,262,裔,,1級,
87,226,263,影,,4級,
88,227,264,瑩,,1級,
88,228,265,鋭,,4級,
88,228,266,,旧字,1/準1級,
88,229,267,叡,,準1級,
89,230,268,殪,,1級,
89,231,269,穎,,準1級,
89,231,270,頴,異体字,,
89,232,271,衛,,6級,
89,232,272,衞,旧字,1/準1級,
89,233,273,霙,,1級,
89,234,274,嬰,,準1級,
89,235,275,翳,,1級,
90,236,276,,,1級,
90,236,277,瀛,異体字,,
90,237,278,蠑,,1級,
90,238,279,,,1級,
90,238,280,贏,異体字,,
90,239,281,癭,,1級,
90,240,282,纓,,1級,
90,241,283,亦,,準1級,
90,242,284,易,,6級,
91,243,285,奕,,1級,
91,244,286,疫,,準2級,
91,245,287,益,,6級,
91,245,288,,旧字,1/準1級,
91,246,289,掖,,1級,
92,247,290,液,,6級,
92,248,291,腋,,1級,
92,249,292,蜴,,1級,
92,250,293,駅,,8級,
92,250,294,驛,旧字,1/準1級,
92,251,295,懌,,1級,
92,252,296,繹,,1級,
92,253,297,鯣,,1級,
93,254,298,鱛,,1級,
93,255,299,曰,,1級,
93,256,300,戉,,1級,
93,257,301,悦,,3級,
93,257,302,,旧字,1/準1級,
93,258,303,粤,,1級,
93,259,304,越,,4級,
94,260,305,鉞,,1級,
94,261,306,噎,,1級,
94,262,307,謁,,準2級,
94,262,308,謁,旧字,1/準1級,
94,263,309,閲,,3級,
94,264,310,噦,,1級,
94,265,311,蛯,,1級,
95,266,312,魞,,1級,
95,267,313,円,,10級,
95,267,314,圓,旧字,1/準1級,
96,268,315,奄,,準1級,
96,269,316,延,,5級,
96,269,317,,旧字,1/準1級,
97,270,318,沿,,5級,
97,271,319,炎,,3級,
97,272,320,苑,,準1級,
98,273,321,怨,,2級,
98,274,322,爰,,1級,
98,275,323,衍,,1級,
98,276,324,冤,,1級,
98,276,325,,異体字,,
98,276,326,寃,異体字,,
98,277,327,宴,,3級,
99,278,328,悁,,1級,
99,279,329,捐,,1級,
99,280,330,莚,,1級,
99,281,331,偃,,1級,
99,282,332,婉,,1級,
99,283,333,掩,,準1級,
99,284,334,淹,,1級,
100,285,335,焉,,1級,
100,286,336,堰,,準1級,
100,287,337,媛,,7級,
100,287,338,,旧字,1/準1級,
100,288,339,援,,4級,
100,288,340,,旧字,1/準1級,
100,289,341,掾,,1級,
100,290,342,淵,,準1級,
100,290,343,渕,異体字,,
101,291,344,湲,,1級,
101,292,345,焰,,準1級,
101,292,346,焔,異体字,,
101,293,347,園,,9級,
101,294,348,塩,,7級,
101,294,349,鹽,旧字,1/準1級,
101,295,350,煙,,4級,
101,295,351,,旧字,1/準1級,
101,295,352,烟,異体字,1級,
102,296,353,猿,,準2級,
103,297,354,筵,,1級,
103,298,355,蜒,,1級,
103,299,356,遠,,9級,
103,299,357,,旧字,1/準1級,
104,300,358,鉛,,4級,
104,301,359,厭,,準1級,
105,302,360,嫣,,1級,
105,303,361,演,,6級,
105,304,362,蜿,,1級,
105,305,363,鳶,,準1級,
106,306,364,縁,,4級,
106,306,365,緣,旧字,1/準1級,
107,307,366,蝘,,1級,
107,308,367,豌,,1級,
107,309,368,燕,,準1級,
107,310,369,薗,,準1級,
107,311,370,鋺,,1級,
107,312,371,閻,,1級,
108,313,372,閹,,1級,
108,314,373,鴛,,準1級,
108,315,374,檐,,1級,
108,316,375,轅,,1級,
108,317,376,嚥,,1級,
108,318,377,簷,,1級,
108,319,378,艶,,2級,
108,319,379,艷,旧字,1/準1級,
109,320,380,臙,,1級,
109,321,381,,,1級,
109,321,382,鼹,異体字,,
109,322,383,讌,,1級,
109,323,384,魘,,1級,
109,324,385,黶,,1級,
109,325,386,汚,,4級,
110,326,387,於,,準1級,
110,327,388,,,1級,
110,327,389,唹,異体字,,
110,328,390,,,1級,
110,328,391,淤,異体字,,
110,329,392,嗚,,1級,
110,330,393,,,1級,口惡
110,331,394,王,,10級,
111,332,395,凹,,準2級,
111,333,396,央,,8級,
112,334,397,応,,6級,
112,334,398,應,旧字,1/準1級,
112,335,399,汪,,1級,
112,336,400,往,,6級,
113,337,401,怏,,1級,
113,338,402,押,,4級,
114,339,403,旺,,2級,
114,340,404,枉,,1級,
114,341,405,欧,,3級,
114,341,406,歐,旧字,1/準1級,
114,342,407,殴,,3級,
114,342,408,毆,旧字,1/準1級,
114,343,409,泓,,1級,
114,344,410,姶,,準1級,
115,345,411,殃,,1級,
115,346,412,瓮,,1級,
115,347,413,桜,,6級,
115,347,414,櫻,旧字,1/準1級,
115,348,415,秧,,1級,
115,349,416,翁,,準2級,
115,349,417,,旧字,1/準1級,
115,350,418,凰,,準1級,
116,351,419,奥,,4級,
116,351,420,奧,旧字,1/準1級,
116,352,421,媼,,1級,
116,353,422,嘔,,1級,
116,354,423,嫗,,1級,
116,355,424,鞅,,1級,
116,356,425,横,,8級,
116,356,426,橫,旧字,1/準1級,
117,357,427,懊,,1級,
117,358,428,甌,,1級,
117,359,429,鴨,,準1級,
118,360,430,鴦,,準1級,
118,361,431,甕,,1級,
118,362,432,襖,,準1級,
118,362,433,,異体字,,
118,363,434,謳,,1級,
118,364,435,鏖,,1級,
118,365,436,嚶,,1級,
119,366,437,罌,,1級,
119,367,438,鶯,,準1級,
119,367,439,鴬,異体字,,
119,368,440,鶲,,1級,
119,369,441,鷗,,準1級,
119,369,442,鴎,異体字,,
119,370,443,鸚,,準1級,
120,371,444,鮱,,1級,
120,372,445,岡,,7級,
120,372,446,堽,異体字,1級,
121,373,447,屋,,8級,
122,374,448,億,,7級,
122,375,449,憶,,4級,
122,376,450,臆,,2級,
124,377,451,虞,,準2級,
125,378,452,乙,,3級,
126,379,453,膃,,1級,
126,380,454,縅,,1級,
127,381,455,俤,,1級,
128,382,456,俺,,2級,
128,383,457,颪,,1級,
128,384,458,卸,,3級,
128,385,459,音,,10級,
129,386,460,恩,,5級,
130,387,461,温,,8級,
130,387,462,溫,旧字,1/準1級,
131,388,463,瘟,,1級,
131,389,464,穏,,3級,
131,389,465,穩,旧字,1/準1級,
132,390,466,鰮,,1級,
132,390,467,鰛,異体字,,
132,391,468,下,,10級,
135,392,469,化,,8級,
135,393,470,戈,,1級,
135,394,471,火,,10級,
137,395,472,加,,7級,
138,396,473,可,,6級,
139,397,474,禾,,準1級,
139,398,475,仮,,6級,
139,398,476,假,旧字,1/準1級,
140,399,477,瓜,,準1級,
140,399,478,,異体字,,
140,400,479,何,,9級,
141,401,480,伽,,準1級,
141,402,481,,,1級,
141,402,482,囮,異体字,,
141,403,483,找,,1級,
141,404,484,花,,10級,
144,405,485,価,,6級,
144,405,486,價,旧字,1/準1級,
144,406,487,佳,,3級,
144,407,488,卦,,準1級,
144,408,489,呵,,1級,
144,409,490,果,,7級,
145,410,491,河,,6級,
146,411,492,苛,,2級,
147,412,493,茄,,準1級,
147,413,494,架,,3級,
147,414,495,枷,,1級,
147,415,496,柯,,1級,
147,416,497,珂,,準1級,
147,417,498,珈,,1級,
148,418,499,科,,9級,
148,419,500,迦,,準1級,
148,419,501,,異体字,,
148,420,502,哥,,1級,
148,421,503,夏,,9級,
149,422,504,家,,9級,
151,423,505,痂,,1級,
151,424,506,荷,,8級,
151,425,507,華,,3級,
151,425,508,,旧字,1/準1級,
152,426,509,笳,,1級,
152,427,510,舸,,1級,
152,428,511,菓,,4級,
152,429,512,訛,,1級,
152,430,513,,,1級,
152,430,514,谺,異体字,,
152,431,515,貨,,7級,
153,432,516,堝,,1級,
153,433,517,渦,,準2級,
153,434,518,葭,,1級,
153,435,519,訶,,1級,
153,436,520,跏,,1級,
153,437,521,軻,,1級,
153,438,522,過,,6級,
153,438,523,,旧字,1/準1級,
155,439,524,嘩,,準1級,
155,439,525,,異体字,,
155,440,526,嫁,,3級,
155,441,527,廈,,1級,
155,441,528,厦,異体字,,
155,442,529,暇,,4級,
155,443,530,瑕,,1級,
155,444,531,禍,,準2級,
155,444,532,禍,旧字,1/準1級,
156,445,533,遐,,1級,
156,446,534,靴,,準2級,
156,447,535,嘉,,準1級,
157,448,536,夥,,1級,
157,449,537,寡,,準2級,
157,450,538,榎,,準1級,
157,451,539,樺,,準1級,
157,451,540,,旧字,1/準1級,
157,452,541,歌,,9級,
157,452,542,謌,異体字,1級,
158,453,543,窩,,1級,
158,454,544,箇,,4級,
158,455,545,裹,,1級,
158,456,546,稼,,準2級,
159,457,547,蝦,,準1級,
159,458,548,蝸,,1級,
159,459,549,蝌,,1級,
160,460,550,課,,7級,
160,461,551,踝,,1級,
160,462,552,罅,,1級,
160,463,553,霞,,準1級,
160,464,554,顆,,1級,
160,465,555,,,1級,
160,465,556,譁,異体字,,
160,466,557,譌,,1級,
160,467,558,鰕,,1級,
161,468,559,蚊,,準2級,
161,469,560,牙,,2級,
161,469,561,,異体字,,
161,470,562,瓦,,2級,
162,471,563,我,,5級,
163,472,564,画,,9級,
163,472,565,畫,旧字,1/準1級,
164,473,566,臥,,準1級,
164,474,567,芽,,7級,
164,474,568,,旧字,1/準1級,
164,475,569,俄,,準1級,
164,476,570,哦,,1級,
164,477,571,娥,,1級,
165,478,572,峨,,準1級,
165,479,573,峩,,,
165,480,574,莪,,1級,
165,481,575,訝,,1級,
165,481,576,,異体字,,
165,482,577,賀,,7級,
165,483,578,蛾,,準1級,
165,484,579,衙,,1級,
165,485,580,雅,,4級,
165,485,581,,旧字,1/準1級,
166,486,582,餓,,3級,
166,486,583,,旧字,1/準1級,
166,487,584,駕,,準1級,
167,488,585,鵝,,1級,
167,488,586,鵞,異体字,,
167,489,587,丐,,1級,
167,490,588,介,,4級,
167,491,589,夬,,1級,
167,492,590,会,,9級,
167,492,591,會,旧字,1/準1級,
168,493,592,价,,1級,
168,494,593,回,,9級,
170,495,594,灰,,5級,
170,495,595,,旧字,1/準1級,
170,496,596,快,,6級,
170,497,597,戒,,4級,
171,498,598,改,,7級,
172,499,599,芥,,準1級,
172,500,600,乖,,1級,
172,501,601,怪,,3級,
173,502,602,拐,,準2級,
173,503,603,廻,,準1級,
173,504,604,徊,,1級,
173,505,605,悔,,3級,
173,505,606,悔,旧字,1/準1級,
174,506,607,恢,,準1級,
174,506,608,,異体字,,
174,507,609,枴,,1級,
174,507,610,,異体字,,
174,508,611,海,,9級,
174,508,612,海,旧字,1/準1級,
177,509,613,界,,8級,
177,510,614,疥,,1級,
177,511,615,皆,,4級,
178,512,616,迴,,1級,
178,513,617,偕,,1級,
178,514,618,晦,,準1級,
178,514,619,,異体字,,
178,515,620,械,,7級,
178,516,621,傀,,1級,
178,517,622,喙,,1級,
179,518,623,堺,,準1級,
179,519,624,愒,,1級,
179,520,625,揩,,1級,
179,521,626,絵,,9級,
179,521,627,繪,旧字,1/準1級,
179,522,628,蛔,,1級,
179,523,629,開,,8級,
181,524,630,階,,8級,
181,525,631,匯,,1級,
181,526,632,塊,,3級,
182,527,633,嵬,,1級,
182,528,634,楷,,2級,
182,529,635,褂,,1級,
182,530,636,解,,6級,
183,531,637,詼,,1級,
183,532,638,隗,,1級,
183,533,639,槐,,1級,
183,534,640,瑰,,1級,
183,535,641,誨,,1級,
184,536,642,誡,,1級,
184,537,643,魁,,準1級,
184,538,644,潰,,2級,
184,539,645,壊,,4級,
184,539,646,壞,旧字,1/準1級,
184,540,647,廨,,1級,
185,541,648,懐,,準2級,
185,541,649,懷,旧字,1/準1級,
185,542,650,懈,,1級,
185,543,651,獪,,1級,
185,544,652,薤,,1級,
186,545,653,諧,,2級,
186,546,654,檜,,準1級,
186,546,655,桧,異体字,,
186,547,656,膾,,1級,
186,548,657,邂,,1級,
186,549,658,醢,,1級,
187,550,659,蟹,,準1級,
187,550,660,蠏,異体字,,
187,551,661,鱠,,1級,
187,552,662,貝,,10級,
188,553,663,乂,,1級,
188,554,664,外,,9級,
190,555,665,艾,,1級,
190,556,666,亥,,準1級,
190,557,667,苅,,準1級,
190,558,668,劾,,準2級,
190,559,669,咳,,準1級,
190,560,670,垓,,1級,
190,561,671,孩,,1級,
190,562,672,害,,7級,
190,562,673,,旧字,1/準1級,
191,563,674,豈,,1級,
191,564,675,啀,,1級,
191,565,676,崖,,2級,
191,565,677,崕,異体字,準1級,
191,566,678,涯,,準2級,
191,567,679,凱,,準1級,
191,568,680,剴,,1級,
191,569,681,街,,7級,
192,570,682,慨,,3級,
192,570,683,慨,旧字,1/準1級,
192,570,684,,旧字,1/準1級,
192,571,685,愾,,1級,
192,572,686,睚,,1級,
192,573,687,碍,,準1級,
192,574,688,蓋,,2級,
192,574,689,葢,異体字,準1級,
192,575,690,該,,3級,
193,576,691,概,,3級,
193,576,692,槪,旧字,1/準1級,
193,576,693,,旧字,1/準1級,
193,577,694,漑,,準1級,
193,577,695,,異体字,,
193,577,696,,異体字,,
193,578,697,皚,,1級,
193,579,698,磑,,1級,
193,580,699,駭,,1級,
193,581,700,骸,,2級,
193,582,701,鮠,,1級,
193,583,702,鎧,,準1級,
194,584,703,礙,,1級,
195,585,704,嬶,,1級,
195,586,705,垣,,準2級,
195,587,706,柿,,2級,
195,588,707,各,,7級,
196,589,708,角,,9級,
196,590,709,拡,,5級,
196,590,710,擴,旧字,1/準1級,
197,591,711,恪,,1級,
197,592,712,挌,,1級,
197,593,713,狢,,1級,
197,594,714,革,,5級,
197,595,715,埆,,1級,
197,596,716,格,,6級,
198,597,717,核,,準2級,
198,598,718,桷,,1級,
199,599,719,殻,,準2級,
199,599,720,殼,旧字,1/準1級,
199,600,721,郭,,3級,
199,601,722,喀,,1級,
199,602,723,椁,,1級,
199,603,724,覚,,7級,
199,603,725,覺,旧字,1/準1級,
200,604,726,塙,,準1級,
200,605,727,貉,,1級,
200,606,728,較,,4級,
200,607,729,隔,,3級,
200,608,730,劃,,準1級,
201,609,731,幗,,1級,
201,610,732,廓,,準1級,
201,611,733,愨,,1級,
201,612,734,摑,,準1級,
201,612,735,掴,異体字,,
201,613,736,膈,,1級,
201,614,737,赫,,準1級,
201,615,738,閣,,5級,
201,616,739,槨,,1級,
202,617,740,確,,6級,
202,618,741,獲,,4級,
202,618,742,,旧字,1/準1級,
202,619,743,霍,,1級,
202,620,744,骼,,1級,
203,621,745,嚇,,準2級,
203,622,746,擱,,1級,
203,623,747,馘,,1級,
203,624,748,穫,,3級,
203,624,749,,旧字,1/準1級,
203,625,750,蠖,,1級,
203,626,751,覈,,1級,
203,627,752,矍,,1級,
203,628,753,癨,,1級,
203,629,754,攫,,1級,
203,630,755,鷽,,1級,
204,631,756,钁,,1級,
204,632,757,学,,10級,
204,632,758,學,旧字,1/準1級,
205,633,759,岳,,3級,
205,633,760,嶽,旧字,1/準1級,
205,634,761,咢,,1級,
205,635,762,愕,,1級,
205,636,763,萼,,1級,
205,637,764,鄂,,1級,
205,638,765,楽,,9級,
205,638,766,樂,旧字,1/準1級,
206,639,767,諤,,1級,
206,640,768,壑,,1級,
206,641,769,鍔,,準1級,
207,642,770,額,,6級,
207,643,771,顎,,2級,
207,644,772,鰐,,準1級,
207,645,773,鶚,,1級,
207,646,774,齶,,1級,
208,647,775,,,1級,判鳥
208,648,776,掛,,3級,
209,649,777,錺,,1級,
209,650,778,樫,,準1級,
209,651,779,鮖,,1級,
210,652,780,鎹,,1級,
210,653,781,鯑,,1級,
210,654,782,,,1級,
210,654,783,綛,異体字,,
210,655,784,纃,,1級,
210,656,785,桛,,1級,
210,657,786,潟,,7級,
211,658,787,刮,,1級,
211,659,788,劼,,1級,
211,660,789,括,,準2級,
212,661,790,曷,,1級,
212,662,791,活,,9級,
213,663,792,喝,,準2級,
213,663,793,喝,旧字,1/準1級,
213,664,794,戛,,1級,
213,664,795,戞,異体字,,
213,665,796,渇,,準2級,
213,665,797,渴,旧字,1/準1級,
213,666,798,割,,5級,
213,666,799,,旧字,1/準1級,
214,667,800,筈,,準1級,
214,668,801,聒,,1級,
214,669,802,葛,,2級,
214,669,803,,異体字,,
215,670,804,蛞,,1級,
215,671,805,滑,,3級,
215,672,806,猾,,1級,
215,673,807,褐,,準2級,
215,673,808,褐,旧字,1/準1級,
216,674,809,瞎,,1級,
216,675,810,羯,,1級,
216,676,811,蝎,,1級,
216,677,812,,,1級,
216,677,813,豁,異体字,,
216,678,814,轄,,準2級,
216,678,815,,旧字,1/準1級,
216,679,816,闊,,1級,
216,679,817,濶,異体字,,
216,680,818,鞨,,1級,
216,681,819,黠,,1級,
216,682,820,蠍,,1級,
217,683,821,且,,準2級,
218,684,822,株,,5級,
218,685,823,釜,,2級,
218,686,824,鎌,,2級,
218,686,825,,旧字,1/準1級,
218,687,826,叺,,1級,
219,688,827,裃,,1級,
220,689,828,刈,,4級,
220,690,829,,,1級,口升
221,691,830,干,,5級,
222,692,831,丱,,1級,
222,693,832,刊,,6級,
222,694,833,甘,,4級,
223,695,834,奸,,1級,
224,696,835,扞,,1級,
224,697,836,汗,,4級,
224,698,837,缶,,準2級,
224,698,838,,旧字,1/準1級,
224,698,839,罐,旧字,1/準1級,
224,698,840,鑵,異体字,1級,
224,698,841,缶,,1級,元の缶
224,699,842,坎,,1級,
224,699,843,,異体字,,
225,700,844,完,,7級,
225,701,845,旱,,1級,
225,702,846,,,1級,日干
225,703,847,杆,,1級,
225,703,848,桿,異体字,,
225,704,849,罕,,1級,
225,705,850,肝,,3級,
226,706,851,侃,,準1級,
226,707,852,函,,準1級,
226,707,853,凾,異体字,,
226,708,854,坩,,1級,
227,709,855,官,,7級,
227,710,856,拑,,1級,
227,711,857,邯,,1級,
227,712,858,冠,,3級,
228,713,859,巻,,5級,
228,713,860,卷,旧字,1/準1級,
229,714,861,咸,,1級,
229,715,862,奐,,1級,
229,716,863,姦,,準1級,
229,717,864,宦,,1級,
229,718,865,柑,,準1級,
230,719,866,柬,,1級,
230,720,867,看,,5級,
230,721,868,竿,,準1級,
230,722,869,悍,,1級,
230,723,870,捍,,1級,
231,724,871,桓,,準1級,
231,725,872,栞,,1級,
231,726,873,浣,,1級,
231,727,874,疳,,1級,
231,728,875,莞,,準1級,
231,729,876,陥,,準2級,
231,729,877,陷,旧字,1/準1級,
231,730,878,乾,,4級,
233,731,879,勘,,3級,
233,732,880,啣,,1級,
233,733,881,患,,準2級,
233,734,882,涵,,1級,
233,735,883,菅,,準1級,
234,736,884,蚶,,1級,
234,737,885,貫,,3級,
234,738,886,喚,,3級,
234,739,887,喊,,1級,
234,740,888,堪,,準2級,
235,741,889,寒,,8級,
236,742,890,嵌,,1級,
236,743,891,換,,3級,
237,744,892,揀,,1級,
237,745,893,敢,,3級,
237,746,894,棺,,準2級,
237,747,895,款,,準2級,
237,748,896,渙,,1級,
237,749,897,皖,,1級,
237,750,898,稈,,1級,
237,751,899,酣,,1級,
238,752,900,間,,9級,
239,753,901,閑,,準2級,
240,754,902,勧,,4級,
240,754,903,,旧字,1/準1級,
240,754,904,勸,旧字,1/準1級,
240,755,905,寛,,準2級,
240,755,906,,旧字,1/準1級,
240,755,907,寬,旧字,1/準1級,
240,756,908,幹,,6級,
241,757,909,感,,8級,
242,758,910,戡,,1級,
242,759,911,漢,,8級,
242,759,912,漢,旧字,1/準1級,
242,760,913,煥,,1級,
242,761,914,豢,,1級,
242,762,915,骭,,1級,
242,763,916,慣,,6級,
243,764,917,管,,7級,
243,765,918,箝,,1級,
244,766,919,銜,,1級,
244,767,920,関,,7級,
244,767,921,關,旧字,1/準1級,
244,768,922,嫺,,1級,
245,769,923,嫻,,1級,
245,770,924,歓,,4級,
245,770,925,,旧字,1/準1級,
245,770,926,歡,旧字,1/準1級,
245,771,927,澗,,準1級,
245,771,928,,異体字,,
245,772,929,監,,4級,
246,773,930,緩,,3級,
246,774,931,緘,,1級,
246,775,932,圜,,1級,
246,776,933,寰,,1級,
246,777,934,憾,,準2級,
246,778,935,撼,,1級,
247,779,936,橄,,1級,
247,780,937,澣,,1級,
247,781,938,盥,,1級,
247,782,939,翰,,準1級,
247,782,940,,異体字,,
247,783,941,舘,,準1級,
247,784,942,諫,,準1級,
247,784,943,諌,異体字,,
248,785,944,還,,準2級,
248,785,945,,旧字,1/準1級,
248,786,946,館,,8級,
248,786,947,,旧字,1/準1級,
248,787,948,歛,,1級,
248,788,949,環,,4級,
248,789,950,癇,,1級,
249,790,951,瞰,,1級,
