漢字,JIS面区点コード,ユニコード,JIS水準
挽,1-40-52,U+633D,1
晩,1-40-53,U+6669,1
番,1-40-54,U+756A,1
盤,1-40-55,U+76E4,1
磐,1-40-56,U+78D0,1
蕃,1-40-57,U+8543,1
蛮,1-40-58,U+86EE,1
匪,1-40-59,U+532A,1
卑,1-40-60,U+5351,1
否,1-40-61,U+5426,1
妃,1-40-62,U+5983,1
庇,1-40-63,U+5E87,1
彼,1-40-64,U+5F7C,1
悲,1-40-65,U+60B2,1
扉,1-40-66,U+6249,1
批,1-40-67,U+6279,1
披,1-40-68,U+62AB,1
斐,1-40-69,U+6590,1
比,1-40-70,U+6BD4,1
泌,1-40-71,U+6CCC,1
疲,1-40-72,U+75B2,1
皮,1-40-73,U+76AE,1
碑,1-40-74,U+7891,1
秘,1-40-75,U+79D8,1
緋,1-40-76,U+7DCB,1
罷,1-40-77,U+7F77,1
肥,1-40-78,U+80A5,1
被,1-40-79,U+88AB,1
誹,1-40-80,U+8AB9,1
費,1-40-81,U+8CBB,1
避,1-40-82,U+907F,1
非,1-40-83,U+975E,1
飛,1-40-84,U+98DB,1
樋,1-40-85,U+6A0B,1
簸,1-40-86,U+7C38,1
備,1-40-87,U+5099,1
尾,1-40-88,U+5C3E,1
微,1-40-89,U+5FAE,1
枇,1-40-90,U+6787,1
毘,1-40-91,U+6BD8,1
琵,1-40-92,U+7435,1
眉,1-40-93,U+7709,1
美,1-40-94,U+7F8E,1
鼻,1-41-01,U+9F3B,1
柊,1-41-02,U+67CA,1
稗,1-41-03,U+7A17,1
匹,1-41-04,U+5339,1
疋,1-41-05,U+758B,1
髭,1-41-06,U+9AED,1
彦,1-41-07,U+5F66,1
膝,1-41-08,U+819D,1
菱,1-41-09,U+83F1,1
肘,1-41-10,U+8098,1
弼,1-41-11,U+5F3C,1
必,1-41-12,U+5FC5,1
畢,1-41-13,U+7562,1
筆,1-41-14,U+7B46,1
逼,1-41-15,U+903C,1
桧,1-41-16,U+6867,1
姫,1-41-17,U+59EB,1
媛,1-41-18,U+5A9B,1
紐,1-41-19,U+7D10,1
百,1-41-20,U+767E,1
謬,1-41-21,U+8B2C,1
俵,1-41-22,U+4FF5,1
彪,1-41-23,U+5F6A,1
標,1-41-24,U+6A19,1
氷,1-41-25,U+6C37,1
漂,1-41-26,U+6F02,1
瓢,1-41-27,U+74E2,1
票,1-41-28,U+7968,1
表,1-41-29,U+8868,1
評,1-41-30,U+8A55,1
豹,1-41-31,U+8C79,1
廟,1-41-32,U+5EDF,1
描,1-41-33,U+63CF,1
病,1-41-34,U+75C5,1
秒,1-41-35,U+79D2,1
苗,1-41-36,U+82D7,1
錨,1-41-37,U+9328,1
鋲,1-41-38,U+92F2,1
蒜,1-41-39,U+849C,1
蛭,1-41-40,U+86ED,1
鰭,1-41-41,U+9C2D,1
品,1-41-42,U+54C1,1
彬,1-41-43,U+5F6C,1
斌,1-41-44,U+658C,1
浜,1-41-45,U+6D5C,1
瀕,1-41-46,U+7015,1
貧,1-41-47,U+8CA7,1
賓,1-41-48,U+8CD3,1
頻,1-41-49,U+983B,1
敏,1-41-50,U+654F,1
瓶,1-41-51,U+74F6,1
不,1-41-52,U+4E0D,1
付,1-41-53,U+4ED8,1
埠,1-41-54,U+57E0,1
夫,1-41-55,U+592B,1
婦,1-41-56,U+5A66,1
富,1-41-57,U+5BCC,1
冨,1-41-58,U+51A8,1
布,1-41-59,U+5E03,1
府,1-41-60,U+5E9C,1
怖,1-41-61,U+6016,1
扶,1-41-62,U+6276,1
敷,1-41-63,U+6577,1
斧,1-41-64,U+65A7,1
普,1-41-65,U+666E,1
浮,1-41-66,U+6D6E,1
父,1-41-67,U+7236,1
符,1-41-68,U+7B26,1
腐,1-41-69,U+8150,1
膚,1-41-70,U+819A,1
芙,1-41-71,U+8299,1
譜,1-41-72,U+8B5C,1
負,1-41-73,U+8CA0,1
賦,1-41-74,U+8CE6,1
赴,1-41-75,U+8D74,1
阜,1-41-76,U+961C,1
附,1-41-77,U+9644,1
侮,1-41-78,U+4FAE,1
撫,1-41-79,U+64AB,1
武,1-41-80,U+6B66,1
舞,1-41-81,U+821E,1
葡,1-41-82,U+8461,1
蕪,1-41-83,U+856A,1
部,1-41-84,U+90E8,1
封,1-41-85,U+5C01,1
楓,1-41-86,U+6953,1
風,1-41-87,U+98A8,1
葺,1-41-88,U+847A,1
蕗,1-41-89,U+8557,1
伏,1-41-90,U+4F0F,1
副,1-41-91,U+526F,1
復,1-41-92,U+5FA9,1
幅,1-41-93,U+5E45,1
服,1-41-94,U+670D,1
福,1-42-01,U+798F,1
腹,1-42-02,U+8179,1
複,1-42-03,U+8907,1
覆,1-42-04,U+8986,1
淵,1-42-05,U+6DF5,1
弗,1-42-06,U+5F17,1
払,1-42-07,U+6255,1
沸,1-42-08,U+6CB8,1
仏,1-42-09,U+4ECF,1
物,1-42-10,U+7269,1
鮒,1-42-11,U+9B92,1
分,1-42-12,U+5206,1
吻,1-42-13,U+543B,1
噴,1-42-14,U+5674,1
墳,1-42-15,U+58B3,1
憤,1-42-16,U+61A4,1
扮,1-42-17,U+626E,1
焚,1-42-18,U+711A,1
奮,1-42-19,U+596E,1
粉,1-42-20,U+7C89,1
糞,1-42-21,U+7CDE,1
紛,1-42-22,U+7D1B,1
雰,1-42-23,U+96F0,1
文,1-42-24,U+6587,1
聞,1-42-25,U+805E,1
丙,1-42-26,U+4E19,1
併,1-42-27,U+4F75,1
兵,1-42-28,U+5175,1
塀,1-42-29,U+5840,1
幣,1-42-30,U+5E63,1
平,1-42-31,U+5E73,1
弊,1-42-32,U+5F0A,1
柄,1-42-33,U+67C4,1
並,1-42-34,U+4E26,1
蔽,1-42-35,U+853D,1
閉,1-42-36,U+9589,1
陛,1-42-37,U+965B,1
米,1-42-38,U+7C73,1
頁,1-42-39,U+9801,1
僻,1-42-40,U+50FB,1
壁,1-42-41,U+58C1,1
癖,1-42-42,U+7656,1
碧,1-42-43,U+78A7,1
別,1-42-44,U+5225,1
瞥,1-42-45,U+77A5,1
蔑,1-42-46,U+8511,1
箆,1-42-47,U+7B86,1
偏,1-42-48,U+504F,1
変,1-42-49,U+5909,1
片,1-42-50,U+7247,1
篇,1-42-51,U+7BC7,1
編,1-42-52,U+7DE8,1
辺,1-42-53,U+8FBA,1
返,1-42-54,U+8FD4,1
遍,1-42-55,U+904D,1
便,1-42-56,U+4FBF,1
勉,1-42-57,U+52C9,1
娩,1-42-58,U+5A29,1
弁,1-42-59,U+5F01,1
鞭,1-42-60,U+97AD,1
保,1-42-61,U+4FDD,1
舗,1-42-62,U+8217,1
鋪,1-42-63,U+92EA,1
圃,1-42-64,U+5703,1
捕,1-42-65,U+6355,1
歩,1-42-66,U+6B69,1
甫,1-42-67,U+752B,1
補,1-42-68,U+88DC,1
輔,1-42-69,U+8F14,1
穂,1-42-70,U+7A42,1
募,1-42-71,U+52DF,1
墓,1-42-72,U+5893,1
慕,1-42-73,U+6155,1
戊,1-42-74,U+620A,1
暮,1-42-75,U+66AE,1
母,1-42-76,U+6BCD,1
簿,1-42-77,U+7C3F,1
菩,1-42-78,U+83E9,1
倣,1-42-79,U+5023,1
俸,1-42-80,U+4FF8,1
包,1-42-81,U+5305,1
呆,1-42-82,U+5446,1
報,1-42-83,U+5831,1
奉,1-42-84,U+5949,1
宝,1-42-85,U+5B9D,1
峰,1-42-86,U+5CF0,1
峯,1-42-87,U+5CEF,1
崩,1-42-88,U+5D29,1
庖,1-42-89,U+5E96,1
抱,1-42-90,U+62B1,1
捧,1-42-91,U+6367,1
放,1-42-92,U+653E,1
方,1-42-93,U+65B9,1
朋,1-42-94,U+670B,1
法,1-43-01,U+6CD5,1
泡,1-43-02,U+6CE1,1
烹,1-43-03,U+70F9,1
砲,1-43-04,U+7832,1
縫,1-43-05,U+7E2B,1
胞,1-43-06,U+80DE,1
芳,1-43-07,U+82B3,1
萌,1-43-08,U+840C,1
蓬,1-43-09,U+84EC,1
蜂,1-43-10,U+8702,1
褒,1-43-11,U+8912,1
訪,1-43-12,U+8A2A,1
豊,1-43-13,U+8C4A,1
邦,1-43-14,U+90A6,1
鋒,1-43-15,U+92D2,1
飽,1-43-16,U+98FD,1
鳳,1-43-17,U+9CF3,1
鵬,1-43-18,U+9D6C,1
乏,1-43-19,U+4E4F,1
亡,1-43-20,U+4EA1,1
傍,1-43-21,U+508D,1
剖,1-43-22,U+5256,1
坊,1-43-23,U+574A,1
妨,1-43-24,U+59A8,1
帽,1-43-25,U+5E3D,1
忘,1-43-26,U+5FD8,1
忙,1-43-27,U+5FD9,1
房,1-43-28,U+623F,1
暴,1-43-29,U+66B4,1
望,1-43-30,U+671B,1
某,1-43-31,U+67D0,1
棒,1-43-32,U+68D2,1
冒,1-43-33,U+5192,1
紡,1-43-34,U+7D21,1
肪,1-43-35,U+80AA,1
膨,1-43-36,U+81A8,1
謀,1-43-37,U+8B00,1
貌,1-43-38,U+8C8C,1
貿,1-43-39,U+8CBF,1
鉾,1-43-40,U+927E,1
防,1-43-41,U+9632,1
吠,1-43-42,U+5420,1
頬,1-43-43,U+982C,1
北,1-43-44,U+5317,1
僕,1-43-45,U+50D5,1
卜,1-43-46,U+535C,1
墨,1-43-47,U+58A8,1
撲,1-43-48,U+64B2,1
朴,1-43-49,U+6734,1
牧,1-43-50,U+7267,1
睦,1-43-51,U+7766,1
穆,1-43-52,U+7A46,1
釦,1-43-53,U+91E6,1
勃,1-43-54,U+52C3,1
没,1-43-55,U+6CA1,1
殆,1-43-56,U+6B86,1
堀,1-43-57,U+5800,1
幌,1-43-58,U+5E4C,1
奔,1-43-59,U+5954,1
本,1-43-60,U+672C,1
翻,1-43-61,U+7FFB,1
凡,1-43-62,U+51E1,1
盆,1-43-63,U+76C6,1
摩,1-43-64,U+6469,1
磨,1-43-65,U+78E8,1
魔,1-43-66,U+9B54,1
麻,1-43-67,U+9EBB,1
埋,1-43-68,U+57CB,1
妹,1-43-69,U+59B9,1
昧,1-43-70,U+6627,1
枚,1-43-71,U+679A,1
毎,1-43-72,U+6BCE,1
哩,1-43-73,U+54E9,1
槙,1-43-74,U+69D9,1
幕,1-43-75,U+5E55,1
膜,1-43-76,U+819C,1
枕,1-43-77,U+6795,1
鮪,1-43-78,U+9BAA,1
柾,1-43-79,U+67FE,1
鱒,1-43-80,U+9C52,1
桝,1-43-81,U+685D,1
亦,1-43-82,U+4EA6,1
俣,1-43-83,U+4FE3,1
又,1-43-84,U+53C8,1
抹,1-43-85,U+62B9,1
末,1-43-86,U+672B,1
沫,1-43-87,U+6CAB,1
迄,1-43-88,U+8FC4,1
侭,1-43-89,U+4FAD,1
繭,1-43-90,U+7E6D,1
麿,1-43-91,U+9EBF,1
万,1-43-92,U+4E07,1
慢,1-43-93,U+6162,1
満,1-43-94,U+6E80,1
漫,1-44-01,U+6F2B,1
蔓,1-44-02,U+8513,1
味,1-44-03,U+5473,1
未,1-44-04,U+672A,1
魅,1-44-05,U+9B45,1
巳,1-44-06,U+5DF3,1
箕,1-44-07,U+7B95,1
岬,1-44-08,U+5CAC,1
密,1-44-09,U+5BC6,1
蜜,1-44-10,U+871C,1
湊,1-44-11,U+6E4A,1
蓑,1-44-12,U+84D1,1
稔,1-44-13,U+7A14,1
脈,1-44-14,U+8108,1
妙,1-44-15,U+5999,1
粍,1-44-16,U+7C8D,1
民,1-44-17,U+6C11,1
眠,1-44-18,U+7720,1
務,1-44-19,U+52D9,1
夢,1-44-20,U+5922,1
無,1-44-21,U+7121,1
牟,1-44-22,U+725F,1
矛,1-44-23,U+77DB,1
霧,1-44-24,U+9727,1
鵡,1-44-25,U+9D61,1
椋,1-44-26,U+690B,1
婿,1-44-27,U+5A7F,1
娘,1-44-28,U+5A18,1
冥,1-44-29,U+51A5,1
名,1-44-30,U+540D,1
命,1-44-31,U+547D,1
明,1-44-32,U+660E,1
盟,1-44-33,U+76DF,1
迷,1-44-34,U+8FF7,1
銘,1-44-35,U+9298,1
鳴,1-44-36,U+9CF4,1
姪,1-44-37,U+59EA,1
牝,1-44-38,U+725D,1
滅,1-44-39,U+6EC5,1
免,1-44-40,U+514D,1
棉,1-44-41,U+68C9,1
綿,1-44-42,U+7DBF,1
緬,1-44-43,U+7DEC,1
面,1-44-44,U+9762,1
麺,1-44-45,U+9EBA,1
摸,1-44-46,U+6478,1
模,1-44-47,U+6A21,1
茂,1-44-48,U+8302,1
妄,1-44-49,U+5984,1
孟,1-44-50,U+5B5F,1
毛,1-44-51,U+6BDB,1
猛,1-44-52,U+731B,1
盲,1-44-53,U+76F2,1
網,1-44-54,U+7DB2,1
耗,1-44-55,U+8017,1
蒙,1-44-56,U+8499,1
儲,1-44-57,U+5132,1
木,1-44-58,U+6728,1
黙,1-44-59,U+9ED9,1
目,1-44-60,U+76EE,1
杢,1-44-61,U+6762,1
勿,1-44-62,U+52FF,1
餅,1-44-63,U+9905,1
尤,1-44-64,U+5C24,1
戻,1-44-65,U+623B,1
籾,1-44-66,U+7C7E,1
貰,1-44-67,U+8CB0,1
問,1-44-68,U+554F,1
悶,1-44-69,U+60B6,1
紋,1-44-70,U+7D0B,1
門,1-44-71,U+9580,1
匁,1-44-72,U+5301,1
也,1-44-73,U+4E5F,1
冶,1-44-74,U+51B6,1
夜,1-44-75,U+591C,1
爺,1-44-76,U+723A,1
耶,1-44-77,U+8036,1
野,1-44-78,U+91CE,1
弥,1-44-79,U+5F25,1
矢,1-44-80,U+77E2,1
厄,1-44-81,U+5384,1
役,1-44-82,U+5F79,1
約,1-44-83,U+7D04,1
薬,1-44-84,U+85AC,1
訳,1-44-85,U+8A33,1
躍,1-44-86,U+8E8D,1
靖,1-44-87,U+9756,1
柳,1-44-88,U+67F3,1
薮,1-44-89,U+85AE,1
鑓,1-44-90,U+9453,1
愉,1-44-91,U+6109,1
愈,1-44-92,U+6108,1
油,1-44-93,U+6CB9,1
癒,1-44-94,U+7652,1
諭,1-45-01,U+8AED,1
輸,1-45-02,U+8F38,1
唯,1-45-03,U+552F,1
佑,1-45-04,U+4F51,1
優,1-45-05,U+512A,1
勇,1-45-06,U+52C7,1
友,1-45-07,U+53CB,1
宥,1-45-08,U+5BA5,1
幽,1-45-09,U+5E7D,1
悠,1-45-10,U+60A0,1
憂,1-45-11,U+6182,1
揖,1-45-12,U+63D6,1
有,1-45-13,U+6709,1
柚,1-45-14,U+67DA,1
湧,1-45-15,U+6E67,1
涌,1-45-16,U+6D8C,1
猶,1-45-17,U+7336,1
猷,1-45-18,U+7337,1
由,1-45-19,U+7531,1
祐,1-45-20,U+7950,1
裕,1-45-21,U+88D5,1
誘,1-45-22,U+8A98,1
遊,1-45-23,U+904A,1
邑,1-45-24,U+9091,1
郵,1-45-25,U+90F5,1
雄,1-45-26,U+96C4,1
融,1-45-27,U+878D,1
夕,1-45-28,U+5915,1
予,1-45-29,U+4E88,1
余,1-45-30,U+4F59,1
与,1-45-31,U+4E0E,1
誉,1-45-32,U+8A89,1
輿,1-45-33,U+8F3F,1
預,1-45-34,U+9810,1
傭,1-45-35,U+50AD,1
幼,1-45-36,U+5E7C,1
妖,1-45-37,U+5996,1
容,1-45-38,U+5BB9,1
庸,1-45-39,U+5EB8,1
揚,1-45-40,U+63DA,1
揺,1-45-41,U+63FA,1
擁,1-45-42,U+64C1,1
曜,1-45-43,U+66DC,1
楊,1-45-44,U+694A,1
様,1-45-45,U+69D8,1
洋,1-45-46,U+6D0B,1
溶,1-45-47,U+6EB6,1
熔,1-45-48,U+7194,1
用,1-45-49,U+7528,1
窯,1-45-50,U+7AAF,1
羊,1-45-51,U+7F8A,1
耀,1-45-52,U+8000,1
葉,1-45-53,U+8449,1
蓉,1-45-54,U+84C9,1
要,1-45-55,U+8981,1
謡,1-45-56,U+8B21,1
踊,1-45-57,U+8E0A,1
遥,1-45-58,U+9065,1
陽,1-45-59,U+967D,1
養,1-45-60,U+990A,1
慾,1-45-61,U+617E,1
抑,1-45-62,U+6291,1
欲,1-45-63,U+6B32,1
沃,1-45-64,U+6C83,1
浴,1-45-65,U+6D74,1
翌,1-45-66,U+7FCC,1
翼,1-45-67,U+7FFC,1
淀,1-45-68,U+6DC0,1
羅,1-45-69,U+7F85,1
螺,1-45-70,U+87BA,1
裸,1-45-71,U+88F8,1
来,1-45-72,U+6765,1
莱,1-45-73,U+83B1,1
頼,1-45-74,U+983C,1
雷,1-45-75,U+96F7,1
洛,1-45-76,U+6D1B,1
絡,1-45-77,U+7D61,1
落,1-45-78,U+843D,1
酪,1-45-79,U+916A,1
乱,1-45-80,U+4E71,1
卵,1-45-81,U+5375,1
嵐,1-45-82,U+5D50,1
欄,1-45-83,U+6B04,1
濫,1-45-84,U+6FEB,1
藍,1-45-85,U+85CD,1
蘭,1-45-86,U+862D,1
覧,1-45-87,U+89A7,1
利,1-45-88,U+5229,1
吏,1-45-89,U+540F,1
履,1-45-90,U+5C65,1
李,1-45-91,U+674E,1
梨,1-45-92,U+68A8,1
理,1-45-93,U+7406,1
璃,1-45-94,U+7483,1
痢,1-46-01,U+75E2,1
裏,1-46-02,U+88CF,1
裡,1-46-03,U+88E1,1
里,1-46-04,U+91CC,1
離,1-46-05,U+96E2,1
陸,1-46-06,U+9678,1
律,1-46-07,U+5F8B,1
率,1-46-08,U+7387,1
立,1-46-09,U+7ACB,1
葎,1-46-10,U+844E,1
掠,1-46-11,U+63A0,1
略,1-46-12,U+7565,1
劉,1-46-13,U+5289,1
流,1-46-14,U+6D41,1
溜,1-46-15,U+6E9C,1
琉,1-46-16,U+7409,1
留,1-46-17,U+7559,1
硫,1-46-18,U+786B,1
粒,1-46-19,U+7C92,1
隆,1-46-20,U+9686,1
竜,1-46-21,U+7ADC,1
龍,1-46-22,U+9F8D,1
侶,1-46-23,U+4FB6,1
慮,1-46-24,U+616E,1
旅,1-46-25,U+65C5,1
虜,1-46-26,U+865C,1
了,1-46-27,U+4E86,1
亮,1-46-28,U+4EAE,1
僚,1-46-29,U+50DA,1
両,1-46-30,U+4E21,1
凌,1-46-31,U+51CC,1
寮,1-46-32,U+5BEE,1
料,1-46-33,U+6599,1
梁,1-46-34,U+6881,1
涼,1-46-35,U+6DBC,1
猟,1-46-36,U+731F,1
療,1-46-37,U+7642,1
瞭,1-46-38,U+77AD,1
稜,1-46-39,U+7A1C,1
糧,1-46-40,U+7CE7,1
良,1-46-41,U+826F,1
諒,1-46-42,U+8AD2,1
遼,1-46-43,U+907C,1
量,1-46-44,U+91CF,1
陵,1-46-45,U+9675,1
領,1-46-46,U+9818,1
力,1-46-47,U+529B,1
緑,1-46-48,U+7DD1,1
倫,1-46-49,U+502B,1
厘,1-46-50,U+5398,1
林,1-46-51,U+6797,1
淋,1-46-52,U+6DCB,1
燐,1-46-53,U+71D0,1
琳,1-46-54,U+7433,1
臨,1-46-55,U+81E8,1
輪,1-46-56,U+8F2A,1
隣,1-46-57,U+96A3,1
鱗,1-46-58,U+9C57,1
麟,1-46-59,U+9E9F,1
瑠,1-46-60,U+7460,1
塁,1-46-61,U+5841,1
涙,1-46-62,U+6D99,1
累,1-46-63,U+7D2F,1
類,1-46-64,U+985E,1
令,1-46-65,U+4EE4,1
伶,1-46-66,U+4F36,1
例,1-46-67,U+4F8B,1
冷,1-46-68,U+51B7,1
励,1-46-69,U+52B1,1
嶺,1-46-70,U+5DBA,1
怜,1-46-71,U+601C,1
玲,1-46-72,U+73B2,1
礼,1-46-73,U+793C,1
苓,1-46-74,U+82D3,1
鈴,1-46-75,U+9234,1
隷,1-46-76,U+96B7,1
零,1-46-77,U+96F6,1
霊,1-46-78,U+970A,1
麗,1-46-79,U+9E97,1
齢,1-46-80,U+9F62,1
暦,1-46-81,U+66A6,1
歴,1-46-82,U+6B74,1
列,1-46-83,U+5217,1
劣,1-46-84,U+52A3,1
烈,1-46-85,U+70C8,1
裂,1-46-86,U+88C2,1
廉,1-46-87,U+5EC9,1
恋,1-46-88,U+604B,1
憐,1-46-89,U+6190,1
漣,1-46-90,U+6F23,1
煉,1-46-91,U+7149,1
簾,1-46-92,U+7C3E,1
練,1-46-93,U+7DF4,1
聯,1-46-94,U+806F,1
蓮,1-47-01,U+84EE,1
連,1-47-02,U+9023,1
錬,1-47-03,U+932C,1
呂,1-47-04,U+5442,1
魯,1-47-05,U+9B6F,1
櫓,1-47-06,U+6AD3,1
炉,1-47-07,U+7089,1
賂,1-47-08,U+8CC2,1
路,1-47-09,U+8DEF,1
露,1-47-10,U+9732,1
労,1-47-11,U+52B4,1
婁,1-47-12,U+5A41,1
廊,1-47-13,U+5ECA,1
弄,1-47-14,U+5F04,1
朗,1-47-15,U+6717,1
楼,1-47-16,U+697C,1
榔,1-47-17,U+6994,1
浪,1-47-18,U+6D6A,1
漏,1-47-19,U+6F0F,1
牢,1-47-20,U+7262,1
狼,1-47-21,U+72FC,1
篭,1-47-22,U+7BED,1
老,1-47-23,U+8001,1
聾,1-47-24,U+807E,1
蝋,1-47-25,U+874B,1
郎,1-47-26,U+90CE,1
六,1-47-27,U+516D,1
麓,1-47-28,U+9E93,1
禄,1-47-29,U+7984,1
肋,1-47-30,U+808B,1
録,1-47-31,U+9332,1
論,1-47-32,U+8AD6,1
倭,1-47-33,U+502D,1
和,1-47-34,U+548C,1
話,1-47-35,U+8A71,1
歪,1-47-36,U+6B6A,1
賄,1-47-37,U+8CC4,1
脇,1-47-38,U+8107,1
惑,1-47-39,U+60D1,1
枠,1-47-40,U+67A0,1
鷲,1-47-41,U+9DF2,1
亙,1-47-42,U+4E99,1
亘,1-47-43,U+4E98,1
鰐,1-47-44,U+9C10,1
詫,1-47-45,U+8A6B,1
藁,1-47-46,U+85C1,1
蕨,1-47-47,U+8568,1
椀,1-47-48,U+6900,1
湾,1-47-49,U+6E7E,1
碗,1-47-50,U+7897,1
腕,1-47-51,U+8155,1
𠮟,1-47-52,U+20B9F,3
孁,1-47-53,U+5B41,3
孖,1-47-54,U+5B56,3
孽,1-47-55,U+5B7D,3
宓,1-47-56,U+5B93,3
寘,1-47-57,U+5BD8,3
寬,1-47-58,U+5BEC,3
尒,1-47-59,U+5C12,3
尞,1-47-60,U+5C1E,3
尣,1-47-61,U+5C23,3
尫,1-47-62,U+5C2B,3
㞍,1-47-63,U+378D,3
屢,1-47-64,U+5C62,3
層,1-47-65,U+FA3B,3
屮,1-47-66,U+FA3C,3
𡚴,1-47-67,U+216B4,3
屺,1-47-68,U+5C7A,3
岏,1-47-69,U+5C8F,3
岟,1-47-70,U+5C9F,3
岣,1-47-71,U+5CA3,3
岪,1-47-72,U+5CAA,3
岺,1-47-73,U+5CBA,3
峋,1-47-74,U+5CCB,3
峐,1-47-75,U+5CD0,3
峒,1-47-76,U+5CD2,3
峴,1-47-77,U+5CF4,3
𡸴,1-47-78,U+21E34,3
㟢,1-47-79,U+37E2,3
崍,1-47-80,U+5D0D,3
崧,1-47-81,U+5D27,3
﨑,1-47-82,U+FA11,3
嵆,1-47-83,U+5D46,3
嵇,1-47-84,U+5D47,3
嵓,1-47-85,U+5D53,3
嵊,1-47-86,U+5D4A,3
嵭,1-47-87,U+5D6D,3
嶁,1-47-88,U+5D81,3
嶠,1-47-89,U+5DA0,3
嶤,1-47-90,U+5DA4,3
嶧,1-47-91,U+5DA7,3
嶸,1-47-92,U+5DB8,3
巋,1-47-93,U+5DCB,3
吞,1-47-94,U+541E,3
弌,1-48-01,U+5F0C,2
丐,1-48-02,U+4E10,2
丕,1-48-03,U+4E15,2
个,1-48-04,U+4E2A,2
丱,1-48-05,U+4E31,2
丶,1-48-06,U+4E36,2
丼,1-48-07,U+4E3C,2
丿,1-48-08,U+4E3F,2
乂,1-48-09,U+4E42,2
乖,1-48-10,U+4E56,2
乘,1-48-11,U+4E58,2
亂,1-48-12,U+4E82,2
亅,1-48-13,U+4E85,2
豫,1-48-14,U+8C6B,2
亊,1-48-15,U+4E8A,2
舒,1-48-16,U+8212,2
弍,1-48-17,U+5F0D,2
于,1-48-18,U+4E8E,2
亞,1-48-19,U+4E9E,2
亟,1-48-20,U+4E9F,2
亠,1-48-21,U+4EA0,2
亢,1-48-22,U+4EA2,2
亰,1-48-23,U+4EB0,2
亳,1-48-24,U+4EB3,2
亶,1-48-25,U+4EB6,2
从,1-48-26,U+4ECE,2
仍,1-48-27,U+4ECD,2
仄,1-48-28,U+4EC4,2
仆,1-48-29,U+4EC6,2
仂,1-48-30,U+4EC2,2
仗,1-48-31,U+4ED7,2
仞,1-48-32,U+4EDE,2
仭,1-48-33,U+4EED,2
仟,1-48-34,U+4EDF,2
价,1-48-35,U+4EF7,2
伉,1-48-36,U+4F09,2
佚,1-48-37,U+4F5A,2
估,1-48-38,U+4F30,2
佛,1-48-39,U+4F5B,2
佝,1-48-40,U+4F5D,2
佗,1-48-41,U+4F57,2
佇,1-48-42,U+4F47,2
佶,1-48-43,U+4F76,2
侈,1-48-44,U+4F88,2
侏,1-48-45,U+4F8F,2
侘,1-48-46,U+4F98,2
佻,1-48-47,U+4F7B,2
佩,1-48-48,U+4F69,2
佰,1-48-49,U+4F70,2
侑,1-48-50,U+4F91,2
佯,1-48-51,U+4F6F,2
來,1-48-52,U+4F86,2
侖,1-48-53,U+4F96,2
儘,1-48-54,U+5118,2
俔,1-48-55,U+4FD4,2
俟,1-48-56,U+4FDF,2
俎,1-48-57,U+4FCE,2
俘,1-48-58,U+4FD8,2
俛,1-48-59,U+4FDB,2
俑,1-48-60,U+4FD1,2
俚,1-48-61,U+4FDA,2
俐,1-48-62,U+4FD0,2
俤,1-48-63,U+4FE4,2
俥,1-48-64,U+4FE5,2
倚,1-48-65,U+501A,2
倨,1-48-66,U+5028,2
倔,1-48-67,U+5014,2
倪,1-48-68,U+502A,2
倥,1-48-69,U+5025,2
倅,1-48-70,U+5005,2
伜,1-48-71,U+4F1C,2
俶,1-48-72,U+4FF6,2
倡,1-48-73,U+5021,2
倩,1-48-74,U+5029,2
倬,1-48-75,U+502C,2
俾,1-48-76,U+4FFE,2
俯,1-48-77,U+4FEF,2
們,1-48-78,U+5011,2
倆,1-48-79,U+5006,2
偃,1-48-80,U+5043,2
假,1-48-81,U+5047,2
會,1-48-82,U+6703,2
偕,1-48-83,U+5055,2
偐,1-48-84,U+5050,2
偈,1-48-85,U+5048,2
做,1-48-86,U+505A,2
偖,1-48-87,U+5056,2
偬,1-48-88,U+506C,2
偸,1-48-89,U+5078,2
傀,1-48-90,U+5080,2
傚,1-48-91,U+509A,2
傅,1-48-92,U+5085,2
傴,1-48-93,U+50B4,2
傲,1-48-94,U+50B2,2
僉,1-49-01,U+50C9,2
僊,1-49-02,U+50CA,2
傳,1-49-03,U+50B3,2
僂,1-49-04,U+50C2,2
僖,1-49-05,U+50D6,2
僞,1-49-06,U+50DE,2
僥,1-49-07,U+50E5,2
僭,1-49-08,U+50ED,2
僣,1-49-09,U+50E3,2
僮,1-49-10,U+50EE,2
價,1-49-11,U+50F9,2
僵,1-49-12,U+50F5,2
儉,1-49-13,U+5109,2
儁,1-49-14,U+5101,2
儂,1-49-15,U+5102,2
儖,1-49-16,U+5116,2
儕,1-49-17,U+5115,2
儔,1-49-18,U+5114,2
儚,1-49-19,U+511A,2
儡,1-49-20,U+5121,2
儺,1-49-21,U+513A,2
儷,1-49-22,U+5137,2
儼,1-49-23,U+513C,2
儻,1-49-24,U+513B,2
儿,1-49-25,U+513F,2
兀,1-49-26,U+5140,2
兒,1-49-27,U+5152,2
兌,1-49-28,U+514C,2
兔,1-49-29,U+5154,2
兢,1-49-30,U+5162,2
竸,1-49-31,U+7AF8,2
兩,1-49-32,U+5169,2
兪,1-49-33,U+516A,2
兮,1-49-34,U+516E,2
冀,1-49-35,U+5180,2
冂,1-49-36,U+5182,2
囘,1-49-37,U+56D8,2
