漢字,JIS面区点コード,ユニコード,JIS水準
唖,1-16-02,U+5516,1
娃,1-16-03,U+5A03,1
阿,1-16-04,U+963F,1
哀,1-16-05,U+54C0,1
愛,1-16-06,U+611B,1
挨,1-16-07,U+6328,1
姶,1-16-08,U+59F6,1
逢,1-16-09,U+9022,1
葵,1-16-10,U+8475,1
茜,1-16-11,U+831C,1
穐,1-16-12,U+7A50,1
悪,1-16-13,U+60AA,1
握,1-16-14,U+63E1,1
渥,1-16-15,U+6E25,1
旭,1-16-16,U+65ED,1
葦,1-16-17,U+8466,1
芦,1-16-18,U+82A6,1
鯵,1-16-19,U+9BF5,1
梓,1-16-20,U+6893,1
圧,1-16-21,U+5727,1
斡,1-16-22,U+65A1,1
扱,1-16-23,U+6271,1
宛,1-16-24,U+5B9B,1
姐,1-16-25,U+59D0,1
虻,1-16-26,U+867B,1
飴,1-16-27,U+98F4,1
絢,1-16-28,U+7D62,1
綾,1-16-29,U+7DBE,1
鮎,1-16-30,U+9B8E,1
或,1-16-31,U+6216,1
粟,1-16-32,U+7C9F,1
袷,1-16-33,U+88B7,1
安,1-16-34,U+5B89,1
庵,1-16-35,U+5EB5,1
按,1-16-36,U+6309,1
暗,1-16-37,U+6697,1
案,1-16-38,U+6848,1
闇,1-16-39,U+95C7,1
鞍,1-16-40,U+978D,1
杏,1-16-41,U+674F,1
以,1-16-42,U+4EE5,1
伊,1-16-43,U+4F0A,1
位,1-16-44,U+4F4D,1
依,1-16-45,U+4F9D,1
偉,1-16-46,U+5049,1
囲,1-16-47,U+56F2,1
夷,1-16-48,U+5937,1
委,1-16-49,U+59D4,1
威,1-16-50,U+5A01,1
尉,1-16-51,U+5C09,1
惟,1-16-52,U+60DF,1
意,1-16-53,U+610F,1
慰,1-16-54,U+6170,1
易,1-16-55,U+6613,1
椅,1-16-56,U+6905,1
為,1-16-57,U+70BA,1
畏,1-16-58,U+754F,1
異,1-16-59,U+7570,1
移,1-16-60,U+79FB,1
維,1-16-61,U+7DAD,1
緯,1-16-62,U+7DEF,1
胃,1-16-63,U+80C3,1
萎,1-16-64,U+840E,1
衣,1-16-65,U+8863,1
謂,1-16-66,U+8B02,1
違,1-16-67,U+9055,1
遺,1-16-68,U+907A,1
医,1-16-69,U+533B,1
井,1-16-70,U+4E95,1
亥,1-16-71,U+4EA5,1
域,1-16-72,U+57DF,1
育,1-16-73,U+80B2,1
郁,1-16-74,U+90C1,1
磯,1-16-75,U+78EF,1
一,1-16-76,U+4E00,1
壱,1-16-77,U+58F1,1
溢,1-16-78,U+6EA2,1
逸,1-16-79,U+9038,1
稲,1-16-80,U+7A32,1
茨,1-16-81,U+8328,1
芋,1-16-82,U+828B,1
鰯,1-16-83,U+9C2F,1
允,1-16-84,U+5141,1
印,1-16-85,U+5370,1
咽,1-16-86,U+54BD,1
員,1-16-87,U+54E1,1
因,1-16-88,U+56E0,1
姻,1-16-89,U+59FB,1
引,1-16-90,U+5F15,1
飲,1-16-91,U+98F2,1
淫,1-16-92,U+6DEB,1
胤,1-16-93,U+80E4,1
蔭,1-16-94,U+852D,1
院,1-17-01,U+9662,1
陰,1-17-02,U+9670,1
隠,1-17-03,U+96A0,1
韻,1-17-04,U+97FB,1
吋,1-17-05,U+540B,1
右,1-17-06,U+53F3,1
宇,1-17-07,U+5B87,1
烏,1-17-08,U+70CF,1
羽,1-17-09,U+7FBD,1
迂,1-17-10,U+8FC2,1
雨,1-17-11,U+96E8,1
卯,1-17-12,U+536F,1
鵜,1-17-13,U+9D5C,1
窺,1-17-14,U+7ABA,1
丑,1-17-15,U+4E11,1
碓,1-17-16,U+7893,1
臼,1-17-17,U+81FC,1
渦,1-17-18,U+6E26,1
嘘,1-17-19,U+5618,1
唄,1-17-20,U+5504,1
欝,1-17-21,U+6B1D,1
蔚,1-17-22,U+851A,1
鰻,1-17-23,U+9C3B,1
姥,1-17-24,U+59E5,1
厩,1-17-25,U+53A9,1
浦,1-17-26,U+6D66,1
瓜,1-17-27,U+74DC,1
閏,1-17-28,U+958F,1
噂,1-17-29,U+5642,1
云,1-17-30,U+4E91,1
運,1-17-31,U+904B,1
雲,1-17-32,U+96F2,1
荏,1-17-33,U+834F,1
餌,1-17-34,U+990C,1
叡,1-17-35,U+53E1,1
営,1-17-36,U+55B6,1
嬰,1-17-37,U+5B30,1
影,1-17-38,U+5F71,1
映,1-17-39,U+6620,1
曳,1-17-40,U+66F3,1
栄,1-17-41,U+6804,1
永,1-17-42,U+6C38,1
泳,1-17-43,U+6CF3,1
洩,1-17-44,U+6D29,1
瑛,1-17-45,U+745B,1
盈,1-17-46,U+76C8,1
穎,1-17-47,U+7A4E,1
頴,1-17-48,U+9834,1
英,1-17-49,U+82F1,1
