ID,漢字,,,,
266,肭,月,內,,
267,肬,月,尤,,
268,泓,氵,弘,,
269,泗,氵,四,,
270,沽,氵,古,,
271,沮,氵,且,,
272,泝,氵,斥,,
273,泄,氵,世,,
274,泅,氵,囚,,
275,沱,氵,它,,
276,泪,氵,目,,
277,泯,氵,民,,
278,沾,氵,占,,
279,牀,爿,木,,
280,爬,爪,巴,,
281,軋,車,乚,,
282,矼,石,工,,
283,瓩,瓦,千,,
284,氛,气,分,,
285,炙,ななめの月,火,,
286,炒,火,少,,
287,衫,衤,彡,,
288,狎,犭,甲,,
289,狒,犭,弗,,
290,羌,⺷,儿,,
291,陂,阝,皮,,
292,邯,甘,阝,,
293,邵,召,阝,,
294,邱,丘,阝,,
295,疚,疒,久,,
296,疝,疒,山,,
297,籵,米,十,,
298,歿,歹,殳みたいなの,,
299,殀,歹,夭,,
300,氓,亡,民,,
301,苡,艹,以,,
302,苳,艹,冬の旧字,,
303,茉,艹,末,,
304,苜,艹,目,,
305,苻,艹,付,,
306,苣,艹,巨,,
307,范,艹,氾,,
308,苞,艹,包の旧字,,
309,苙,艹,立,,
310,苟,艹,句,,
311,苹,艹,平の旧字,,
312,茆,艹,卯,,
313,苴,艹,且,,
314,苺,艹,母,,
315,迚,中,辶,,
316,迪,由,１点辶,,
317,廸,由,廴,,
318,竏,立,千,,
319,秉,秉,,,
320,盂,于,皿,,
321,罔,冂,䒑,亡,
322,穹,穴,弓,,
323,祀,示,巳,,
324,刱,井,刅,,
325,幷,幷,,,
326,拋,扌,尢,力,
327,卹,血,卩,,
328,玫,王,攵,,
329,矻,石,乞,,
330,彽,彳,氐,,
331,卻,谷みたいなの,卩,,
332,圀,囗,儿,方,
333,俔,亻,見,,
334,俟,亻,矣,,
335,俎,人,人,且,
336,俘,亻,孚,,
337,俛,亻,免,,
338,俑,亻,甬,,
339,俚,亻,里,,
340,俐,亻,利,,
341,俤,亻,弟,,
342,俥,亻,車,,
343,兪,入,一,月,巜
344,冑,由,冃,,
345,剏,并,刄,,
346,剄,巠,刂,,
347,剋,克,刂,,
348,剌,束,刂,,
349,勁,巠,力,,
350,匍,勹,甫,,
351,厖,厂,尨,,
352,呱,口,瓜,,
353,呰,此,口,,
354,哇,口,圭,,
355,咢,口,口,一,丂
356,咸,戊,一,口,
357,咥,口,至,,
358,咬,口,交,,
359,哄,口,共,,
360,哈,口,合,,
361,咨,次,口,,
362,咫,尺,只,,
363,哂,口,西,,
364,咤,口,宅,,
365,囿,囗,有,,
366,垓,土,亥,,
367,垠,土,艮,,
368,垤,土,至,,
369,奕,亦,大,,
370,奐,奐,,,
371,奎,大,圭,,
372,姨,女,夷,,
373,姜,⺷,女,,
374,姙,女,任,,
375,姚,女,兆,,
376,孩,子,亥,,
377,屎,尸,米,,
378,屏,尸,并,,
379,峙,山,寺,,
380,庠,广,羊,,
381,弭,弓,耳,,
382,弯,亦,弓,,
383,徊,彳,回,,
384,很,彳,艮,,
385,徇,彳,旬,,
386,怎,乍,心,,
387,怱,匆,心,,
388,恪,忄,各,,
389,恟,忄,匈,,
390,恊,忄,劦,,
391,恍,忄,光,,
392,恃,忄,寺,,
393,恤,忄,血,,
394,恂,忄,旬,,
395,恬,忄,舌,,
396,恫,忄,同,,
397,扁,戶,飛び出さない冊,,
398,拏,奴,手,,
399,挌,扌,各,,
400,拮,扌,吉,,
401,拱,扌,共,,
402,挂,扌,圭,,
403,拯,扌,丞,,
404,拵,扌,存,,
405,畋,田,攵,,
406,鳬,鳥の省略,几,,
407,斫,石,斤,,
408,朏,月,出,,
409,昜,日,一,勿,
410,昴,日,卯,,
411,昶,永,日,,
412,昵,日,尼,,
413,昿,日,広,,
414,閂,門,一,,
415,缸,缶,工,,
416,枴,木,叧,,
417,柯,木,可,,
418,枷,木,加,,
419,柤,木,且,,
420,柞,木,乍,,
421,柩,木,匛,,
422,柮,木,出,,
423,柬,柬,,,
424,枳,木,只,,
425,柢,木,氐,,
426,柎,木,付,,
427,柝,木,斥,,
428,枹,木,包の旧字,,
429,枸,木,句,,
430,胙,月,乍,,
431,胝,月,氐,,
432,胛,月,甲,,
433,胚,月,不,,
434,胥,疋,月,,
435,胄,由,月,,
436,胖,月,半の旧字,,
437,曷,日,匃,,
438,禹,禹,,,
439,禺,禺,,,
440,洸,氵,光,,
441,洽,氵,合,,
442,洌,氵,列,,
443,洟,氵,夷,,
444,洶,氵,匈,,
445,洵,氵,旬,,
446,洒,氵,西,,
447,洫,氵,血,,
448,爰,爫,一,友,
449,癸,癸,,,
450,珈,王,加,,
451,珀,王,白,,
452,玻,王,皮,,
453,玳,王,代,,
454,砒,石,比,,
455,砌,石,切,,
456,紆,糸,于,,
457,紂,糸,寸,,
458,牴,牛,氐,,
459,酊,酉,丁,,
460,瓰,瓦,分,,
461,瓲,瓦,屯,,
462,瓮,公,瓦,,
463,瓱,瓦,毛,,
464,炸,火,乍,,
465,炮,火,包の旧字,,
466,炬,火,巨,,
467,炳,火,丙,,
468,炯,火,冋,,
469,衵,衤,日,,
470,袂,衤,夬,,
471,衲,衤,內,,
472,衽,衤,壬,,
473,狢,犭,各,,
474,狡,犭,交,,
475,狠,犭,艮,,
476,盻,目,兮,,
477,眇,目,少,,
478,眈,目,冘,,
479,眄,目,丏,,
480,陋,阝,丙,L,
481,陌,阝,百,,
482,疣,疒,尤,,
483,疥,疒,介,,
484,殃,歹,央,,
485,殄,歹,㐱,,
486,茴,艹,回,,
487,茯,艹,伏,,
488,茱,艹,朱,,
489,荀,艹,旬,,
490,荅,艹,合,,
491,茲,艹,幺,幺,
492,茹,艹,如,,
493,茵,艹,因,,
494,荐,艹,存,,
495,茗,艹,名,,
496,茘,艹,刕,,
497,茫,艹,汒,,
498,莽,艹,大,廾,
499,迢,召,辶,,
500,迥,冋,辶,,
501,竓,立,毛,,
502,竕,立,分,,
503,秕,禾,比,,
504,衍,彳,氵,亍,
505,罘,罒,不,,
506,穽,穴,井,,
507,矜,矛,今,,
508,臾,臾,,,
509,舁,臼,廾,,
510,姸,女,ななめの幵,,
511,姮,女,亘,,
512,俞,𠆢,一,刖,
513,竽,⺮,于,,
514,紉,糸,丶刀,,
515,挘,扌,劣,,
516,炷,火,主みたいなの,,
517,烟,火,因,,
518,笋,⺮,尹,,
519,倚,亻,奇,,
520,倨,亻,居,,
521,倔,亻,屈,,
522,倪,亻,兒,,
523,倥,亻,空,,
524,倅,亻,卒,,
525,俶,亻,叔,,
526,倡,亻,昌,,
527,倩,亻,靑,,
528,倬,亻,卓,,
529,俾,亻,卑,,
530,俯,亻,府,,
531,們,亻,門,,
532,倆,亻,兩,,
533,冓,冓,,,
534,冤,冖,免,丶,
535,冢,冖,豖,,
536,凅,冫,固,,
537,剞,奇,刂,,
538,剔,易,刂,,
539,勍,京,力,,
